"Accipiter_gentilis","Acrocephalus_arundinaceus","Acrocephalus_palustris","Acrocephalus_scirpaceus","Aegithalos_caudatus","Alauda_arvensis","Anthus_trivialis","Apus_apus","Buteo_buteo","Carduelis_cannabina","Carduelis_carduelis","Carduelis_chloris","Certhia_brachydactyla","Certhia_familiaris","Coccothraustes_coccothraustes","Columba_livia","Columba_oenas","Columba_palumbus","Corvus_corax","Corvus_corone","Cuculus_canorus","Parus_caeruleus","Delichon_urbicum","Dendrocopos_major","Dendrocopos_medius","Dryocopus_martius","Emberiza_citrinella","Emberiza_schoeniclus","Erithacus_rubecula","Falco_tinnunculus","Ficedula_hypoleuca","Fringilla_coelebs","Garrulus_glandarius","Hippolais_icterina","Hirundo_rustica","Lanius_collurio","Locustella_naevia","Parus_cristatus","Luscinia_megarhynchos","Miliaria_calandra","Motacilla_alba","Motacilla_flava","Muscicapa_striata","Oriolus_oriolus","Parus_major","Passer_domesticus","Passer_montanus","Parus_ater","Phoenicurus_ochruros","Phoenicurus_phoenicurus","Phylloscopus_collybita","Phylloscopus_sibilatrix","Phylloscopus_trochilus","Pica_pica","Picus_viridis","Parus_palustris","Prunella_modularis","Regulus_ignicapilla","Saxicola_torquatus","Serinus_serinus","Sitta_europaea","Streptopelia_decaocto","Sturnus_vulgaris","Sylvia_atricapilla","Sylvia_borin","Sylvia_communis","Sylvia_curruca","Troglodytes_troglodytes","Turdus_merula","Turdus_philomelos","site"
0,0,0,0,0,0,0,5.25526577553891,0,0,0.350351051702594,0.700702103405187,0,0,0,0.350351051702594,0,6.30631893064669,0,3.50351051702594,0,3.15315946532334,0,0,0,0,0,0,0,0,0,0,0.350351051702594,0,0,0,0,0,0,0,0,0,0,0,3.50351051702594,56.7568703758202,0,0,0,0,0,0,0,1.40140420681037,0,0,0,0,0,0,0,0,0.700702103405187,0.700702103405187,0,0,0.350351051702594,0,9.45947839597003,0,"BE10"
0,0,0,0,0.318937646066646,0,0,6.69769056739957,0,0,0.318937646066646,3.50831410673311,3.50831410673311,0,0,0,0,7.33556585953286,0,3.50831410673311,0,7.97344115166615,0,2.55150116853317,0,0,0,0,2.87043881459982,0,0,1.27575058426659,0.318937646066646,0,0,0,0,0,2.23256352246652,0,0.637875292133293,0,0,0,12.4385681965992,38.5914551740642,1.59468823033323,0,1.59468823033323,2.23256352246652,1.27575058426659,0,0.318937646066646,1.27575058426659,0.318937646066646,0,0.318937646066646,0.637875292133293,0,1.59468823033323,0.956812938199939,0,4.1461893988664,8.2923787977328,0,0,1.27575058426659,3.18937646066646,11.8006929044659,0,"BE11"
0,0,0,0,0,0,0,1.44455827788725,0,0,0,2.52797698630269,1.44455827788725,0,0,1.80569784735906,0,6.13937268102082,0,0.722279138943626,0,6.50051225049263,0,0.361139569471813,0,0,0,0,1.80569784735906,0,0,0.722279138943626,0,0,0,0,0,0,0,0,0,0,0,0,6.50051225049263,20.2238158904215,1.44455827788725,0,1.44455827788725,0.722279138943626,0,0,0,0,0,0,0,0,0,0,1.44455827788725,0,3.97253526418994,3.61139569471813,0,0,0,1.44455827788725,10.8341870841544,0.361139569471813,"BE12"
0,1.01826180570065,0,1.35768240760086,0.678841203800432,0,0,0,0.339420601900216,0,0.678841203800432,0.678841203800432,1.01826180570065,0,0.339420601900216,0,1.69710300950108,3.39420601900216,0,3.39420601900216,0.678841203800432,6.4489914361041,0,3.39420601900216,2.37594421330151,0.339420601900216,0,0.339420601900216,4.75188842660302,0,0,10.1826180570065,1.01826180570065,0,3.39420601900216,0,0,0,3.05478541710194,0,0.339420601900216,0,0.339420601900216,0.678841203800432,6.4489914361041,0.678841203800432,0,0.339420601900216,0,0,4.41246782470281,0.339420601900216,0.339420601900216,0,0.339420601900216,0.678841203800432,0,0.339420601900216,0,0,7.12783263990454,0,12.2191416684078,9.50377685320605,0.339420601900216,0.339420601900216,0,4.75188842660302,9.16435625130583,3.73362662090238,"BE13"
0,0,0,0,0.721553962360951,0.721553962360951,3.96854679298523,0,0.360776981180476,0.360776981180476,0.360776981180476,2.16466188708285,0.721553962360951,0,0.360776981180476,0,0,1.80388490590238,0.360776981180476,2.16466188708285,0.360776981180476,6.49398566124856,0,1.4431079247219,0,0,7.21553962360951,0,3.60776981180476,0,0.360776981180476,6.49398566124856,1.08233094354143,0.721553962360951,0,2.52543886826333,0.721553962360951,0,7.21553962360951,0,0.721553962360951,0,0.360776981180476,0.721553962360951,12.6271943413166,6.49398566124856,1.4431079247219,0,0.360776981180476,2.16466188708285,4.69010075534618,0,5.41165471770713,0.360776981180476,0.360776981180476,0,0.360776981180476,0,0,0,0.360776981180476,0,2.16466188708285,8.65864754833141,1.80388490590238,1.4431079247219,0.360776981180476,1.80388490590238,19.4819569837457,3.96854679298523,"BE14"
0,0.668199105474481,1.6704977636862,1.6704977636862,0,3.00689597463516,0.33409955273724,0,0,0.33409955273724,0.33409955273724,0.668199105474481,1.33639821094896,0,0.33409955273724,0,0,0.668199105474481,0,0.33409955273724,0.33409955273724,2.33869686916068,0,1.33639821094896,0,0,2.67279642189792,4.67739373832137,1.6704977636862,0,0,3.00689597463516,0.33409955273724,0.33409955273724,0,1.33639821094896,0.33409955273724,0,1.00229865821172,0,0.33409955273724,1.00229865821172,0.668199105474481,1.00229865821172,3.3409955273724,0,0.668199105474481,0,0.668199105474481,0.668199105474481,1.6704977636862,0,0.33409955273724,0,0,0,0,0,0.33409955273724,0,0.33409955273724,0,2.00459731642344,2.33869686916068,0,0,0,1.00229865821172,4.34329418558413,1.00229865821172,"be15"
0,0,0,0,0,0,0,0,0,0,0.262435042101245,2.88678546311369,0.52487008420249,0,0,0,0,4.19896067361992,0,1.04974016840498,0,5.2487008420249,0,0,0,0,0,0,0,0,0,0.52487008420249,0.52487008420249,0,0,0,0,0,2.62435042101245,0,0,0,0,0,12.0720119366573,27.2932443785295,1.57461025260747,0,1.83704529470871,2.88678546311369,1.83704529470871,0,0,1.04974016840498,0,0,0.262435042101245,1.04974016840498,0,1.04974016840498,0,0,4.98626579992365,3.67409058941743,0,0,1.83704529470871,1.57461025260747,10.2349666419486,0.262435042101245,"BE16"
0,0,0.946905830062109,0,0,6.62834081043476,0,0,0,0.946905830062109,0.946905830062109,1.89381166012422,0,0,0,0,0,2.20944693681159,0,1.26254110674948,0.946905830062109,1.26254110674948,0,0,0,0,4.41889387362317,0,0,0,0,0.631270553374739,0.631270553374739,1.57817638343685,0,0.631270553374739,0.631270553374739,0,1.89381166012422,2.52508221349896,0,0,0,0,5.36579970368528,0,1.26254110674948,0,0,0,1.26254110674948,0,4.41889387362317,0.631270553374739,0.31563527668737,0,0,0,0.631270553374739,0,0,0,3.1563527668737,3.78762332024843,0.946905830062109,7.2596113638095,0.946905830062109,0,4.41889387362317,1.57817638343685,"BE17"
0.349328772709066,0,1.39731509083626,0,0.698657545418132,0.349328772709066,0,1.0479863181272,0,0.349328772709066,0.349328772709066,2.79463018167253,0.349328772709066,0,0,0.349328772709066,0,4.54127404521786,0.349328772709066,2.79463018167253,0.349328772709066,6.28791790876319,0.698657545418132,1.0479863181272,0,0,1.39731509083626,0.349328772709066,1.39731509083626,0.349328772709066,0,0,0,0.349328772709066,0.349328772709066,0.698657545418132,0.698657545418132,0.349328772709066,6.28791790876319,0,0.698657545418132,0,0.349328772709066,0,9.78120563585385,30.7409319983978,2.79463018167253,0,1.39731509083626,4.19194527250879,3.14395895438159,0,1.39731509083626,1.74664386354533,0,0,1.0479863181272,0.349328772709066,0,2.44530140896346,0,0,5.93858913605412,5.23993159063599,1.0479863181272,0,1.39731509083626,1.74664386354533,17.1171098627442,0.349328772709066,"BE18"
0,0,0,0.68567118129327,0,0,0,4.11402708775962,0,0,1.37134236258654,4.45686267840625,1.0285067719399,0,0.342835590646635,0,0,5.14253385969952,0,3.42835590646635,0,5.14253385969952,0,1.0285067719399,0,0,0,0,1.37134236258654,0,1.37134236258654,0,1.0285067719399,0.68567118129327,0,0,0,0,1.71417795323317,0,0,0,1.0285067719399,0,6.17104063163943,30.8552031581971,2.74268472517308,0,2.05701354387981,3.08552031581971,1.0285067719399,0,1.0285067719399,2.39984913452644,0.342835590646635,0,0.342835590646635,0,0,1.37134236258654,1.0285067719399,2.05701354387981,11.6564100819856,2.39984913452644,1.0285067719399,0.342835590646635,1.37134236258654,0.68567118129327,10.9707389006923,1.37134236258654,"BE19"
