"","Amara_aenea","Amara_anthobia","Amara_apricaria","Amara_aulica","Amara_bifrons","Amara_convexior","Amara_curta","Amara_equestris","Amara_eurynota","Amara_familiaris","Amara_fulva","Amara_fusca","Amara_lucida","Amara_lunicollis","Amara_makolskii","Amara_municipalis","Amara_ovata","Amara_similata","Amara_tibialis","Anisodactylus_binotatus","Badister_bullatus","Bembidion_lampros","Bembidion_properans","Bradycellus_harpalinus","Calathus_ambiguus","Calathus_cinctus","Calathus_erratus","Calathus_fuscipes","Calathus_melanocephalus","Carabus_nemoralis","Cicindela_campestris","Cicindela_hybrida","Harpalus_affinis","Harpalus_anxius","Harpalus_autumnalis","Harpalus_calceatus","Harpalus_distinguendus","Harpalus_flavescens","Harpalus_griseus","Harpalus_latus","Harpalus_luteicornis","Cryptophonus_melancholicus","Harpalus_picipennis","Harpalus_pumilus","Harpalus_rubripes","Harpalus_rufipalpis","Harpalus_rufipes","Harpalus_serripes","Semiophonus_signaticornis","Harpalus_smaragdinus","Harpalus_tardus","Leistus_ferrugineus","Leistus_rufomarginatus","Licinus_depressus","Loricera_pilicornis","Masoreus_wetterhallii","Microlestes_minutulus","Nebria_brevicollis","Nebria_salina","Notiophilus_aestuans","Notiophilus_aquaticus","Notiophilus_palustris","Panagaeus_bipustulatus","Poecilus_cupreus","Poecilus_lepidus","Poecilus_versicolor","Pterostichus_diligens","Pterostichus_niger","Pterostichus_vernalis","Stenolophus_teutonus","Syntomus_foveatus","Syntomus_truncatellus","Trechus_quadristriatus"
"1",8,0,0,0,0,3,10,0,0,1,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,6,0,0,0,3,0,2,3,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,1,5,11,0
"2",4,0,0,13,4,19,0,0,0,1,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,39,1,2,0,0,0,2,4,0,0,0,0,0,3,0,0,15,34,0,1,0,0,2,2,1,0,0,0,0,2,3,0,0,0,0,4,12,0,2,0,0,0,0,8,16,0
"3",410,0,0,0,1,0,0,0,0,9,0,0,51,6,0,0,0,1,11,0,0,0,11,0,0,1,0,2,1,0,0,0,12,6,0,0,5,0,0,0,1,0,0,70,50,0,0,0,2,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5,11,0
"4",27,0,0,0,2,2,0,3,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,4,0,12,27,2,0,0,0,0,31,11,0,0,0,0,6,0,0,0,114,54,0,0,3,1,3,5,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,14,0,0
"5",6,0,0,0,0,4,0,0,0,2,0,0,3,4,0,0,1,0,3,0,0,1,0,0,0,0,0,25,2,0,0,0,3,2,4,0,1,0,0,1,3,0,0,13,24,0,7,1,2,0,68,2,0,1,0,4,2,1,0,0,1,0,1,3,3,17,0,1,0,0,11,12,0
"6",52,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,2,0,15,28,0,0,0,1,0,29,19,0,0,1,1,0,0,4,0,20,20,0,0,0,2,9,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,4,0,0
"7",13,0,0,0,3,4,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,46,13,6,0,0,0,1,16,12,0,0,0,0,0,1,0,0,77,14,0,2,0,0,1,19,0,0,2,0,0,5,0,0,0,0,0,1,0,1,7,0,1,0,0,8,4,0
"8",147,0,5,0,9,0,0,0,1,1,3,0,5,0,0,0,0,0,0,0,0,2,0,0,15,0,0,7,3,0,0,0,0,233,93,1,1,1,1,0,0,0,0,54,5,0,0,36,0,10,6,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,27,0,0
"9",4,0,0,0,27,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,31,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,13,18,0,3,1,0,21,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"10",8,0,0,0,0,3,0,0,1,2,1,0,0,8,0,0,0,2,13,0,1,0,1,0,0,0,0,19,5,0,0,0,2,1,2,0,0,0,0,0,0,0,0,12,27,0,2,2,0,1,47,0,0,0,0,0,3,0,0,0,0,0,2,3,9,36,0,2,0,0,11,20,2
"11",10,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,1,0,0,0,0,5,4,0,0,0,0,0,0,1,0,10,31,0,0,1,2,3,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0
"12",40,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,6,0,0,0,13,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
