"","Agelena_labyrinthica","Eratigena_agrestis","Anyphaena_accentuata","Argiope_bruennichi","Cercidia_prominens","Hypsosinga_albovittata","Mangora_acalypha","Atypus_affinis","Clubiona_neglecta","Argenna_subnigra","Harpactea_rubicunda","Cheiracanthium_virescens","Callilepis_nocturna","Drassodes_lapidosus","Drassodes_pubescens","Drassyllus_praeficus","Drassyllus_pumilus","Drassyllus_pusillus","Haplodrassus_dalmatensis","Haplodrassus_signifer","Haplodrassus_silvestris","Micaria_dives","Micaria_fulgens","Zelotes_clivicola","Zelotes_electus","Zelotes_latreillei","Zelotes_longipes","Zelotes_petrensis","Zelotes_subterraneus","Hahnia_nava","Abacoproeces_saltuum","Acartauchenius_scurrilis","Agyneta_affinis","Meioneta_fuscipalpa","Agyneta_rurestris","Araeoncus_humilis","Ceratinella_brevis","Cnephalocotes_obscurus","Diplostyla_concolor","Erigone_atra","Erigone_dentipalpis","Erigonella_hiemalis","Erigonoplus_foveatus","Mermessus_trilobatus","Metopobactrus_prominulus","Microneta_viaria","Oedothorax_retusus","Pelecopsis_parallela","Pelecopsis_radicicola","Pocadicnemis_juncea","Pocadicnemis_pumila","Styloctetor_romanus","Tapinocyba_insecta","Tenuiphantes_flavipes","Tenuiphantes_tenuis","Tiso_vagans","Trichopterna_cito","Troxochrus_scabriculus","Typhochrestus_digitatus","Walckenaeria_antica","Walckenaeria_atrotibialis","Walckenaeria_furcillata","Walckenaeria_obtusa","Agroeca_brunnea","Agroeca_cuprea","Agroeca_proxima","Scotina_celans","Alopecosa_cuneata","Alopecosa_barbipes","Alopecosa_pulverulenta","Alopecosa_trabalis","Aulonia_albimana","Pardosa_agrestis","Pardosa_alacris","Pardosa_amentata","Pardosa_palustris","Pardosa_prativaga","Pardosa_pullata","Pardosa_saltans","Trochosa_ruricola","Trochosa_terricola","Xerolycosa_miniata","Xerolycosa_nemoralis","Thanatus_arenarius","Thanatus_sabulosus","Phrurolithus_festivus","Pisaura_mirabilis","Aelurillus_v.insignitus","Attulus_saltator","Euophrys_frontalis","Evarcha_falcata","Heliophanus_cupreus","Heliophanus_flavipes","Pellenes_tripunctatus","Phlegra_fasciata","Talavera_aequipes","Pachygnatha_degeeri","Asagena_phalerata","Enoplognatha_thoracica","Euryopis_flavomaculata","Neottiura_bimaculata","Ozyptila_praticola","Ozyptila_scabricula","Xysticus_bifasciatus","Xysticus_cristatus","Xysticus_erraticus","Xysticus_kochi","Xysticus_ninnii","Xysticus_robustus","Xysticus_striatipes","Zodarion_rubidum","Zora_spinimana"
"1",0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,3,0,1,0,6,4,0,6,0,1,0,0,0,1,4,4,0,2,0,1,0,1,0,0,1,1,1,0,2,0,0,0,11,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,54,2,1,0,93,0,0,0,0,15,3,9,87,6,0,7,1,1,0,1,0,2,1,0,0,1,0,0,4,2,0,0,0,0,0,10,0,1,0,0,0,22,1
"2",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,9,0,31,0,0,2,0,11,1,1,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,33,3,0,0,0,0,6,2,0,1,1,19,4,0,8,0,1,8,0,0,0,0,0,0,0,1,1,3,10,0,2,0,0,13,0,2,0,5,0,0,2,6,3
"3",0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,8,0,1,0,3,0,0,0,0,2,0,0,1,0,27,0,0,1,0,2,1,0,0,0,0,3,0,0,1,0,0,1,66,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,2,1,0,1,0,0,227,0,1,0,13,0,39,1,2,0,0,0,0,0,0,0,0,0,0,2,4,12,181,5,0,1,0,0,0,10,0,31,0,0,0,14,0
"4",0,0,0,0,0,0,0,0,1,1,0,1,0,10,1,12,0,1,24,45,1,0,0,0,7,1,6,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,24,7,0,0,0,12,0,4,0,0,0,0,0,0,0,1,27,19,4,0,0,0,1,0,67,0,0,0,3,0,93,9,39,0,2,2,0,1,1,0,0,0,0,0,2,6,18,0,0,0,0,2,0,12,0,14,2,0,7,21,0
"5",0,0,0,0,0,0,2,0,0,7,0,2,1,0,0,2,0,9,0,9,0,0,0,0,14,2,1,2,0,36,0,0,0,0,4,2,2,1,0,0,1,0,2,1,0,0,0,65,0,0,0,0,4,0,0,1,2,0,2,0,0,0,0,0,0,0,0,102,2,36,2,0,0,0,0,154,5,2,1,23,3,47,15,38,2,0,1,0,0,0,0,0,1,1,4,4,6,13,0,0,0,0,0,0,11,0,34,0,0,8,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,0,3,23,1,0,0,1,0,95,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,1,0,7,0,0,2,0,0
"7",0,0,0,0,0,0,0,0,0,2,0,2,1,0,2,3,0,8,1,1,0,3,0,0,8,2,7,1,1,4,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,12,0,1,0,1,0,0,0,0,10,0,0,0,0,0,0,0,1,3,0,40,11,37,8,3,1,0,0,1,8,1,0,11,18,121,3,20,0,7,0,0,0,0,0,0,0,0,1,4,0,4,0,3,0,0,0,0,3,1,5,0,0,1,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,5,25,0,0,0,0,0,0,22,0,0,0,2,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,53,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,7,0,0,0,4,0
"9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,9,0,0,0,0,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,1,0,0,0,0,18,2,1,0,2,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,11,0,0,0,19,0
"10",0,0,1,0,0,2,0,0,0,1,0,0,2,2,0,2,0,9,0,14,0,0,0,0,9,1,2,2,0,31,0,0,4,0,2,1,0,1,0,0,0,1,4,2,0,0,0,58,0,0,1,0,15,0,1,0,8,0,0,0,0,0,0,0,0,0,0,77,0,60,0,0,0,0,0,44,4,0,3,35,0,46,1,26,0,8,1,0,0,3,2,0,1,0,7,4,10,11,0,0,0,0,0,0,9,0,17,0,0,8,91,0
"11",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,3,0,0,0,0,5,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,5,0,3,0,24,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,19,1,80,2,1,0,0,2,0,0,0,0,0,0,0,5,2,6,18,0,0,0,0,0,0,6,0,24,0,0,0,1,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,2,4,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0
"13",0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,124,1,6,0,0,0,0,18,0,0,0,1,4,0,0,7,1,4,6,0,0,0,0,0,0,1,2,0,0,0,10,1,0,1,1,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,53,1,8,0,2,0,0,0,362,13,12,0,58,1,50,20,0,0,0,0,0,0,0,0,0,0,0,7,0,12,1,5,0,0,0,0,1,19,0,28,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,2,0,20,0,0,4,0,1,230,5,0,0,2,0,0,0,0,0,0,0,0,0,0,5,21,1,0,0,0,0,0,5,0,4,0,0,0,4,0
"15",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,11,23,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,3,0,0,0,2,1,0,0,1,0,0,0,36,0,0,0,80,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,73,0,0,0,0,0,0,3,0,51,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,11,1,13,0,0,0,0,3,0,6,0,0,1,0,0,5,0,4,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,1,1,2,98,0,0,0,3,0,0,0,1,0,1,0,0,12,5,2,20,1,0,0,0,0,0,1,0,17,0,0,0,10,43
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0
"19",1,0,0,0,0,2,0,0,0,0,2,0,1,2,0,2,0,1,0,2,13,0,6,2,3,0,0,0,3,0,6,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,5,4,0,1,0,1,4,3,0,2,0,0,1,12,4,0,5,0,0,0,3,0,26,0,0,0,104,0,1,0,0,155,1,9,3,2,0,4,1,0,0,0,4,0,0,0,0,1,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,8,1
