"","model.type","aic.full","aicc.full","aicc.avg"
"1","null.NA",4680.95028404567,4551.32065441604,65.0188664916577
"2","100m.full",4175.5072689353,4302.77999620803,61.4682856601147
"3","100m.human",4398.24097238966,4325.44097238966,61.7920138912809
"4","100m.nat",4151.09667928082,4127.76334594748,58.9680477992498
"5","500m.full",4121.53579854723,4248.80852581995,60.6972646545708
"6","500m.human",4403.93667202008,4331.13667202008,61.8733810288583
"7","500m.nat",4161.75244140996,4138.41910807663,59.1202729725233
"8","1km.full",4149.45197111104,4276.72469838377,61.0960671197682
"9","1km.human",4427.98232142003,4355.18232142003,62.2168903060004
"10","1km.nat",4201.94485713989,4178.61152380655,59.6944503400936
"11","2km.full",4244.27651477819,4371.54924205092,62.4507034578703
"12","2km.human",4501.44600767793,4428.64600767792,63.2663715382561
"13","2km.nat",4281.64604412634,4258.312710793,60.8330387256143
"14","5km.full",4464.64258490843,4507.25128056061,64.3893040080087
"15","5km.human",4623.66418813433,4550.86418813433,65.0123455447761
"16","5km.nat",4483.36363622725,4410.56363622725,63.0080519461036
