"","model.type","aic.full","aicc.full","aicc.avg"
"1","null.NA",8775.69085859885,8798.15239706039,120.52263557617
"2","plant.NA",8834.39922991557,8913.31814883449,122.100248614171
"3","100m.full",8741.15701503121,8981.62760326651,123.035994565295
"4","100m.human",8767.11262314398,8846.0315420629,121.178514274834
"5","100m.nat",8820.4611414519,8942.12780811856,122.494901481076
"6","500m.full",8807.7698298703,9048.24041810559,123.948498878159
"7","500m.human",8788.03434158049,8866.9532604994,121.465113157526
"8","500m.nat",8806.93109191166,8928.59775857832,122.309558336689
"9","1km.full",8843.07819801962,9083.54878625491,124.432175154177
"10","1km.human",8809.32445352706,8888.24337244598,121.756758526657
"11","1km.nat",8821.22867140117,8942.89533806783,122.50541558997
"12","2km.full",8883.66928079539,9124.13986903068,124.988217383982
"13","2km.human",8809.11485151293,8888.03377043185,121.75388726619
"14","2km.nat",8841.38857284793,8963.0552395146,122.781578623488
"15","5km.full",8911.31592446441,9151.78651269971,125.366938530133
"16","5km.human",8807.10619696292,8886.02511588184,121.726371450436
"17","5km.nat",8844.53947270003,8966.2061393667,122.82474163516
