"","model.type","aic.full","aicc.full","aicc.avg"
"1","null.NA",12550.2602981506,12584.7218366121,112.363587826894
"2","plant.NA",12668.0184267421,12789.0995078232,114.188388462707
"3","100m.full",12274.2057759311,12643.1469524017,112.885240646444
"4","100m.human",12413.7593164988,12534.8403975799,111.918217835535
"5","100m.nat",12562.757921021,12749.4245876876,113.834148104354
"6","500m.full",12638.8616830226,13007.8028594932,116.141096959761
"7","500m.human",12542.0622107242,12663.1432918053,113.063779391119
"8","500m.nat",12729.9541685151,12916.6208351817,115.326971742694
"9","1km.full",12696.3876214291,13065.3287978997,116.654721409819
"10","1km.human",12584.966735141,12706.0478162221,113.446855501983
"11","1km.nat",12712.6327164995,12899.2993831661,115.172315921126
"12","2km.full",12793.2932438816,13162.2344203522,117.519950181716
"13","2km.human",12600.1961782179,12721.277259299,113.582832672312
"14","2km.nat",12714.3186451018,12900.9853117685,115.187368855076
"15","5km.full",12680.0582069563,13048.9993834269,116.508923066312
"16","5km.human",12621.2475121363,12742.3285932174,113.77079101087
"17","5km.nat",12649.5263945008,12836.1930611674,114.608866617566
