Plot;Age;Connectivity;Class1;Class2;Long;Lat;Urb_clim;X;Y;Dist.center;imperv;tree.cover;open.green;dist.wtr;light;noise;pop.1km;area
Nh_02;New;High;Forest;Forest;13.64608;52.45572;2;408001.6416;5812589;17316.15724;14.03979301;50.93281555;19.03979301;852.958313;155.2662811;63.10149384;268.9198591;844369.3515
Nh_04;New;High;Forest;Forest;13.24056;52.48448;2;380526.5952;5816381;11152.53716;1.027270317;72;6;760.7000122;196.1281738;52.65167999;0.091538814;10513184.66
Nh_05;New;High;Park;Park;13.40603;52.47541;2;391739.6567;5815111;2911.611473;11;1;85.09856415;934.3202515;253.4325256;51.89121628;0.010582988;2961979.18
Nh_10;New;High;Park;Park;13.51432;52.44011;2;399013.3918;5811028;10218.65936;58.57527161;6;30.42472649;1169.152832;254.4134674;56.22916794;1631.017029;649048.1007
Nh_11;New;High;Forest;Forest;13.44811;52.61662;1;394935.2752;5830755;13177.55387;11.93185711;9;75;832.8214111;206.6366119;65.34819031;292.5563045;98970.3188
Nh_51;New;High;Brownfield;Other;13.24265;52.48820;1;380678.5724;5816791;10948.72769;7.406920433;60.05572128;10.94427967;607.8622437;210.408844;50.68772125;18.80897209;194070.1941
Nl_03;New;Low;Brownfield;Other;13.12965;52.47737;1;372975.5259;5815779;18717.16725;18.63014793;8.758692741;48.85246658;785.3289185;209.5046997;42.40926361;1544.01958;522130.0155
Nl_05;New;Low;Brownfield;Other;13.47589;52.45935;2;396446.4729;5813223;6846.975551;51.93463516;36.03382111;6;239.3856659;253.956665;59.72350693;7486.492991;18385.1794
Nl_14;New;Low;Park;Park;13.38538;52.53438;4;390483.9126;5821701;3837.399159;76.04701233;8.415382385;10;951.5598755;255;56.63116455;12727.41556;53277.50394
Nl_16;New;Low;Farmland;Other;13.48428;52.63044;1;397416.1954;5832240;15381.63345;15.66236973;10;69;1346.36792;248.734848;66.51674652;560.807623;754802.5036
Nl_200;New;Low;Cemetery;Other;13.37698;52.53825;4;389923.8791;5822144;4438.996148;73.63420105;11.36579895;11;526.0796509;255;58.01554108;11725.07286;46353.45311
Nl_205;New;Low;Park;Park;13.25248;52.50828;1;381400.0158;5819008;10206.64764;28;38;17;453.0099487;254.5879974;59.43500519;3386.559486;5404.428768
Nl_206;New;Low;Cemetery;Other;13.34650;52.56343;3;387920.9997;5824992;7866.104869;43.88992691;36.58971405;11.11007309;449.4309998;253.2211304;66.94956207;8552.612662;106029.1008
Nl_208;New;Low;Park;Park;13.55584;52.43955;3;401834.2442;5810909;12494.85568;62;25.31936836;4.680630684;984.8427734;253.9215851;61.0314064;10016.16359;43880
Nl_211;New;Low;Park;Park;13.45144;52.43653;3;394730.9576;5810720;7957.133175;51.36606979;30.64871216;11.60833263;833.4494629;253.6954041;53.57726669;7185.843587;139681.731
Nl_214;New;Low;Median;Other;13.49902;52.43429;2;397960.0154;5810403;9948.067422;69;22;1;249.0126953;253.940979;63.31918335;3961.574733;2000
Nl_55;New;Low;Park;Park;13.35797;52.45722;3;388429.7214;5813161;5776.589148;37.76465607;36.58974838;18;316.9592285;253.6736603;61.14139557;3719.670177;185080.8728
Nl_56;New;Low;Park;Park;13.37576;52.51426;3;389781.0966;5819478;2300.598274;58.31887436;16.37457848;19.30654526;344.8309631;255;62.10786057;1976.153255;896992.3821
Nm_02;New;Medium;Forest;Forest;13.65850;52.45443;1;408842.8721;5812429;18165.2437;0.016788075;77.98321533;2.137545824;713.1617432;96.89328766;62.97609711;0;844369.3515
Nm_05;New;Medium;Brownfield;Other;13.56144;52.42789;3;402189.065;5809604;13556.76902;56.5968132;19.05442619;15;239.0646973;253.5436401;64.32151794;537.8904194;655970.4114
Nm_07;New;Medium;Park;Park;13.37353;52.51451;3;389630.4086;5819509;2437.881934;45.81584167;24.42739105;21.32937813;293.4593811;255;62.1637001;797.001943;896992.3821
Nm_09;New;Medium;Park;Park;13.35908;52.46165;1;388516.3286;5813652;5320.449236;43.90639877;41.09360123;12;521.1817627;254.4690399;62.26563644;1927.002519;185080.8728
Nm_201;New;Medium;Brownfield;Other;13.28078;52.50321;4;383307.0901;5818398;8260.139626;72.74586487;17.10857582;3.145556211;465.9992065;255;67.85757446;2986.681461;5622
Nm_202;New;Medium;Park;Park;13.22902;52.50694;2;379804.3161;5818898;11787.07567;20.66453171;40.33546829;13.72239399;939.7800293;253.2652588;55.35433578;3478.64151;2459.672324
Oh_01;Old;High;Forest;Forest;13.58918;52.47647;1;404180.5775;5814970;12984.66285;12.57089806;59.03961563;8;1333.126465;250.8735657;46.26118088;878.9714426;1435286.072
Oh_02;Old;High;Park;Park;13.57169;52.50037;1;403045.3381;5817652;11492.70624;57;20;20;842.9055786;253.9712372;55.87030411;3462.003767;154425.1782
Oh_03;Old;High;Forest;Forest;13.20594;52.44694;1;378072.244;5812264;14662.24039;0;71;9;528.6455688;144.0420532;65.95124054;0;10513184.66
