"","x"
"B[(Intercept) (C1), Amara_aenea (S1)]",1793.50220959758
"B[imperv.100m (C2), Amara_aenea (S1)]",1652.14602811437
"B[dist.water.100m (C3), Amara_aenea (S1)]",1171.91593029649
"B[temp.100m (C4), Amara_aenea (S1)]",2419.30085853619
"B[(Intercept) (C1), Amara_anthobia (S2)]",2230.61878108758
"B[imperv.100m (C2), Amara_anthobia (S2)]",2028.87482255339
"B[dist.water.100m (C3), Amara_anthobia (S2)]",3022.98269849094
"B[temp.100m (C4), Amara_anthobia (S2)]",2705.75038618201
"B[(Intercept) (C1), Amara_apricaria (S3)]",1703.07635472637
"B[imperv.100m (C2), Amara_apricaria (S3)]",1673.80166017129
"B[dist.water.100m (C3), Amara_apricaria (S3)]",1975.08555538026
"B[temp.100m (C4), Amara_apricaria (S3)]",1853.26386964894
"B[(Intercept) (C1), Amara_aulica (S4)]",2896.49624789584
"B[imperv.100m (C2), Amara_aulica (S4)]",2342.7527663767
"B[dist.water.100m (C3), Amara_aulica (S4)]",4355.52260601237
"B[temp.100m (C4), Amara_aulica (S4)]",3211.24936311216
"B[(Intercept) (C1), Amara_bifrons (S5)]",2544.82686017455
"B[imperv.100m (C2), Amara_bifrons (S5)]",1871.42676414579
"B[dist.water.100m (C3), Amara_bifrons (S5)]",3961.53593996284
"B[temp.100m (C4), Amara_bifrons (S5)]",2607.18827830168
"B[(Intercept) (C1), Amara_convexior (S6)]",3880.39247092141
"B[imperv.100m (C2), Amara_convexior (S6)]",1127.88248766707
"B[dist.water.100m (C3), Amara_convexior (S6)]",5000.82500532516
"B[temp.100m (C4), Amara_convexior (S6)]",4180.37873913084
"B[(Intercept) (C1), Amara_curta (S7)]",985.101543029221
"B[imperv.100m (C2), Amara_curta (S7)]",595.251758819766
"B[dist.water.100m (C3), Amara_curta (S7)]",2837.85368656954
"B[temp.100m (C4), Amara_curta (S7)]",3033.98262644692
"B[(Intercept) (C1), Amara_equestris (S8)]",2785.49402089732
"B[imperv.100m (C2), Amara_equestris (S8)]",1804.28461125897
"B[dist.water.100m (C3), Amara_equestris (S8)]",5756.4923516201
"B[temp.100m (C4), Amara_equestris (S8)]",2785.25046160167
"B[(Intercept) (C1), Amara_eurynota (S9)]",2410.85407616481
"B[imperv.100m (C2), Amara_eurynota (S9)]",2268.87878801578
"B[dist.water.100m (C3), Amara_eurynota (S9)]",4017.84622357798
"B[temp.100m (C4), Amara_eurynota (S9)]",2371.96873895881
"B[(Intercept) (C1), Amara_familiaris (S10)]",3802.79419229005
"B[imperv.100m (C2), Amara_familiaris (S10)]",1160.46553434658
"B[dist.water.100m (C3), Amara_familiaris (S10)]",6880.84938677048
"B[temp.100m (C4), Amara_familiaris (S10)]",3824.57648807108
"B[(Intercept) (C1), Amara_fulva (S11)]",2241.53987116385
"B[imperv.100m (C2), Amara_fulva (S11)]",1949.29383101076
"B[dist.water.100m (C3), Amara_fulva (S11)]",3201.32399180795
"B[temp.100m (C4), Amara_fulva (S11)]",2307.19271763528
"B[(Intercept) (C1), Amara_fusca (S12)]",1108.87736205436
"B[imperv.100m (C2), Amara_fusca (S12)]",445.771175797719
"B[dist.water.100m (C3), Amara_fusca (S12)]",798.039520057241
"B[temp.100m (C4), Amara_fusca (S12)]",1478.19067168942
"B[(Intercept) (C1), Amara_lucida (S13)]",1484.25947312315
"B[imperv.100m (C2), Amara_lucida (S13)]",2302.65418392684
"B[dist.water.100m (C3), Amara_lucida (S13)]",2090.22201582525
"B[temp.100m (C4), Amara_lucida (S13)]",2108.16036803763
"B[(Intercept) (C1), Amara_lunicollis (S14)]",2220.29050373732
"B[imperv.100m (C2), Amara_lunicollis (S14)]",2664.84087942114
"B[dist.water.100m (C3), Amara_lunicollis (S14)]",8950.38628393366
"B[temp.100m (C4), Amara_lunicollis (S14)]",2170.51824392575
"B[(Intercept) (C1), Amara_makolskii (S15)]",3408.87741283835
"B[imperv.100m (C2), Amara_makolskii (S15)]",3208.67781947342
"B[dist.water.100m (C3), Amara_makolskii (S15)]",4459.05832147941
"B[temp.100m (C4), Amara_makolskii (S15)]",3360.85649061215
"B[(Intercept) (C1), Amara_municipalis (S16)]",1664.69717456676
"B[imperv.100m (C2), Amara_municipalis (S16)]",1362.97125808657
"B[dist.water.100m (C3), Amara_municipalis (S16)]",1890.66945300749
"B[temp.100m (C4), Amara_municipalis (S16)]",1758.62282123694
"B[(Intercept) (C1), Amara_ovata (S17)]",3039.84754389086
"B[imperv.100m (C2), Amara_ovata (S17)]",1475.05342760064
"B[dist.water.100m (C3), Amara_ovata (S17)]",4250.10060176721
"B[temp.100m (C4), Amara_ovata (S17)]",3032.68196864782
"B[(Intercept) (C1), Amara_similata (S18)]",4433.42621282725
"B[imperv.100m (C2), Amara_similata (S18)]",2455.18436640732
"B[dist.water.100m (C3), Amara_similata (S18)]",5915.71575982105
"B[temp.100m (C4), Amara_similata (S18)]",4809.76272557956
"B[(Intercept) (C1), Amara_tibialis (S19)]",1784.20907178309
"B[imperv.100m (C2), Amara_tibialis (S19)]",1408.61384245609
"B[dist.water.100m (C3), Amara_tibialis (S19)]",2494.70641054475
"B[temp.100m (C4), Amara_tibialis (S19)]",2001.75180522905
"B[(Intercept) (C1), Anisodactylus_binotatus (S20)]",2006.92339053209
