"","x"
"Omega1[Amara_aenea (S1), Amara_aenea (S1)]",316.730301398147
"Omega1[Amara_anthobia (S2), Amara_aenea (S1)]",1498.60823022623
"Omega1[Amara_apricaria (S3), Amara_aenea (S1)]",804.13976097237
"Omega1[Amara_aulica (S4), Amara_aenea (S1)]",541.269744460384
"Omega1[Amara_bifrons (S5), Amara_aenea (S1)]",1055.30297475173
"Omega1[Amara_convexior (S6), Amara_aenea (S1)]",311.682104019145
"Omega1[Amara_curta (S7), Amara_aenea (S1)]",946.120015074555
"Omega1[Amara_equestris (S8), Amara_aenea (S1)]",1617.34121907351
"Omega1[Amara_eurynota (S9), Amara_aenea (S1)]",1883.49742558552
"Omega1[Amara_familiaris (S10), Amara_aenea (S1)]",585.038319342957
"Omega1[Amara_fulva (S11), Amara_aenea (S1)]",1269.91973390063
"Omega1[Amara_fusca (S12), Amara_aenea (S1)]",239.129757269011
"Omega1[Amara_lucida (S13), Amara_aenea (S1)]",275.236204636531
"Omega1[Amara_lunicollis (S14), Amara_aenea (S1)]",810.184361565985
"Omega1[Amara_makolskii (S15), Amara_aenea (S1)]",714.787627612004
"Omega1[Amara_municipalis (S16), Amara_aenea (S1)]",844.349566376846
"Omega1[Amara_ovata (S17), Amara_aenea (S1)]",1585.58626803531
"Omega1[Amara_similata (S18), Amara_aenea (S1)]",1453.11914997672
"Omega1[Amara_tibialis (S19), Amara_aenea (S1)]",512.069723227109
"Omega1[Anisodactylus_binotatus (S20), Amara_aenea (S1)]",1554.36998980867
"Omega1[Badister_bullatus (S21), Amara_aenea (S1)]",1018.00833547327
"Omega1[Bembidion_lampros (S22), Amara_aenea (S1)]",294.582089310253
"Omega1[Bembidion_properans (S23), Amara_aenea (S1)]",322.803077435289
"Omega1[Bradycellus_harpalinus (S24), Amara_aenea (S1)]",1013.55170357703
"Omega1[Calathus_ambiguus (S25), Amara_aenea (S1)]",468.87323929846
"Omega1[Calathus_cinctus (S26), Amara_aenea (S1)]",1063.98191849971
"Omega1[Calathus_erratus (S27), Amara_aenea (S1)]",343.747090151678
"Omega1[Calathus_fuscipes (S28), Amara_aenea (S1)]",574.287975758082
"Omega1[Calathus_melanocephalus (S29), Amara_aenea (S1)]",427.149211924544
"Omega1[Carabus_nemoralis (S30), Amara_aenea (S1)]",179.976630647441
"Omega1[Cicindela_campestris (S31), Amara_aenea (S1)]",425.759671000236
"Omega1[Cicindela_hybrida (S32), Amara_aenea (S1)]",387.786463963139
"Omega1[Harpalus_affinis (S33), Amara_aenea (S1)]",352.413007083317
"Omega1[Harpalus_anxius (S34), Amara_aenea (S1)]",581.423608463801
"Omega1[Harpalus_autumnalis (S35), Amara_aenea (S1)]",569.165499822341
"Omega1[Harpalus_calceatus (S36), Amara_aenea (S1)]",452.697722924864
"Omega1[Harpalus_distinguendus (S37), Amara_aenea (S1)]",598.007469615381
"Omega1[Harpalus_flavescens (S38), Amara_aenea (S1)]",593.287215878425
"Omega1[Harpalus_griseus (S39), Amara_aenea (S1)]",620.101578614239
"Omega1[Harpalus_latus (S40), Amara_aenea (S1)]",1195.8756384475
"Omega1[Harpalus_luteicornis (S41), Amara_aenea (S1)]",756.662582799045
"Omega1[Cryptophonus_melancholicus (S42), Amara_aenea (S1)]",562.081432622755
"Omega1[Harpalus_picipennis (S43), Amara_aenea (S1)]",604.047017834991
"Omega1[Harpalus_pumilus (S44), Amara_aenea (S1)]",563.841796835367
"Omega1[Harpalus_rubripes (S45), Amara_aenea (S1)]",431.83488478697
"Omega1[Harpalus_rufipalpis (S46), Amara_aenea (S1)]",223.414347522156
"Omega1[Harpalus_rufipes (S47), Amara_aenea (S1)]",625.381777949885
"Omega1[Harpalus_serripes (S48), Amara_aenea (S1)]",648.906184839497
"Omega1[Semiophonus_signaticornis (S49), Amara_aenea (S1)]",380.753849306456
"Omega1[Harpalus_smaragdinus (S50), Amara_aenea (S1)]",339.103596652922
"Omega1[Harpalus_tardus (S51), Amara_aenea (S1)]",349.633548508235
"Omega1[Leistus_ferrugineus (S52), Amara_aenea (S1)]",536.306487570239
"Omega1[Leistus_rufomarginatus (S53), Amara_aenea (S1)]",369.114651055562
"Omega1[Licinus_depressus (S54), Amara_aenea (S1)]",604.781635037629
"Omega1[Loricera_pilicornis (S55), Amara_aenea (S1)]",1294.81451707485
"Omega1[Masoreus_wetterhallii (S56), Amara_aenea (S1)]",2196.33223205041
"Omega1[Microlestes_minutulus (S57), Amara_aenea (S1)]",381.911295632329
"Omega1[Nebria_brevicollis (S58), Amara_aenea (S1)]",268.447805538312
"Omega1[Nebria_salina (S59), Amara_aenea (S1)]",1604.66930008153
"Omega1[Notiophilus_aestuans (S60), Amara_aenea (S1)]",1984.87304936232
"Omega1[Notiophilus_aquaticus (S61), Amara_aenea (S1)]",570.689743991246
"Omega1[Notiophilus_palustris (S62), Amara_aenea (S1)]",320.278405601157
"Omega1[Panagaeus_bipustulatus (S63), Amara_aenea (S1)]",718.843330501129
