"","Point est.","Upper C.I."
"B[(Intercept) (C1), Amara_aenea (S1)]",1.04196637967469,1.14014135972103
"B[imperv.100m (C2), Amara_aenea (S1)]",1.0715283572101,1.22787649849477
"B[dist.water.100m (C3), Amara_aenea (S1)]",1.01452436280739,1.05018944524
"B[temp.100m (C4), Amara_aenea (S1)]",1.05515304418737,1.18071959736446
"B[(Intercept) (C1), Amara_anthobia (S2)]",1.08831105185436,1.27199745838601
"B[imperv.100m (C2), Amara_anthobia (S2)]",1.01129983099755,1.0318958679739
"B[dist.water.100m (C3), Amara_anthobia (S2)]",1.00512052040775,1.01587077735998
"B[temp.100m (C4), Amara_anthobia (S2)]",1.04546998703272,1.15055281238087
"B[(Intercept) (C1), Amara_apricaria (S3)]",1.00440657675582,1.01187138133415
"B[imperv.100m (C2), Amara_apricaria (S3)]",1.02438589249864,1.07657102828332
"B[dist.water.100m (C3), Amara_apricaria (S3)]",1.02126686801007,1.07187253706769
"B[temp.100m (C4), Amara_apricaria (S3)]",1.00793882888667,1.02365845137095
"B[(Intercept) (C1), Amara_aulica (S4)]",1.01585154636596,1.0508916648194
"B[imperv.100m (C2), Amara_aulica (S4)]",1.11675711355743,1.35638068553482
"B[dist.water.100m (C3), Amara_aulica (S4)]",1.04183493441231,1.13589554034058
"B[temp.100m (C4), Amara_aulica (S4)]",1.00447254821225,1.01431942872412
"B[(Intercept) (C1), Amara_bifrons (S5)]",1.23460411155956,1.70197269960299
"B[imperv.100m (C2), Amara_bifrons (S5)]",1.129381647508,1.39844189964234
"B[dist.water.100m (C3), Amara_bifrons (S5)]",1.12389808438827,1.36377111074837
"B[temp.100m (C4), Amara_bifrons (S5)]",1.20383051421207,1.61380160233021
"B[(Intercept) (C1), Amara_convexior (S6)]",1.09366724271242,1.29101332580223
"B[imperv.100m (C2), Amara_convexior (S6)]",1.24867516208955,1.69399676991629
"B[dist.water.100m (C3), Amara_convexior (S6)]",1.18166913514517,1.52113431989472
"B[temp.100m (C4), Amara_convexior (S6)]",1.23807370231413,1.67407004108549
"B[(Intercept) (C1), Amara_curta (S7)]",1.04473101811623,1.1336240063527
"B[imperv.100m (C2), Amara_curta (S7)]",1.47898351607752,2.27035737381201
"B[dist.water.100m (C3), Amara_curta (S7)]",1.03422228177484,1.11559647880504
"B[temp.100m (C4), Amara_curta (S7)]",1.07811973124955,1.24774517814817
"B[(Intercept) (C1), Amara_equestris (S8)]",1.00852126583206,1.03003831968516
"B[imperv.100m (C2), Amara_equestris (S8)]",1.01495001678457,1.04429323894578
"B[dist.water.100m (C3), Amara_equestris (S8)]",1.00323753788573,1.01146241004239
"B[temp.100m (C4), Amara_equestris (S8)]",1.01168606539613,1.04095752775659
"B[(Intercept) (C1), Amara_eurynota (S9)]",1.00206251440314,1.00416803852801
"B[imperv.100m (C2), Amara_eurynota (S9)]",1.00390743517721,1.0123148714078
"B[dist.water.100m (C3), Amara_eurynota (S9)]",1.02387366467476,1.08238683970646
"B[temp.100m (C4), Amara_eurynota (S9)]",1.00227966784195,1.00550375533864
"B[(Intercept) (C1), Amara_familiaris (S10)]",1.10193357114372,1.31155007905604
"B[imperv.100m (C2), Amara_familiaris (S10)]",1.18499516766483,1.52582281578689
"B[dist.water.100m (C3), Amara_familiaris (S10)]",1.01672344469665,1.05149715824523
"B[temp.100m (C4), Amara_familiaris (S10)]",1.18681892272728,1.52989077196424
"B[(Intercept) (C1), Amara_fulva (S11)]",1.0011256831606,1.00213201053595
"B[imperv.100m (C2), Amara_fulva (S11)]",1.0045406591835,1.01295588240817
"B[dist.water.100m (C3), Amara_fulva (S11)]",1.01255460448324,1.04222445804409
"B[temp.100m (C4), Amara_fulva (S11)]",1.00034915151549,1.0008702026824
"B[(Intercept) (C1), Amara_fusca (S12)]",1.08719290629411,1.27205690695568
"B[imperv.100m (C2), Amara_fusca (S12)]",1.31512691519586,1.83903216814215
"B[dist.water.100m (C3), Amara_fusca (S12)]",1.07018927363976,1.21833296459957
"B[temp.100m (C4), Amara_fusca (S12)]",1.052496114073,1.17263824520515
"B[(Intercept) (C1), Amara_lucida (S13)]",1.01447152839122,1.03945871929562
"B[imperv.100m (C2), Amara_lucida (S13)]",1.48697448845379,2.25721391530045
"B[dist.water.100m (C3), Amara_lucida (S13)]",1.07244055706681,1.22349080702656
"B[temp.100m (C4), Amara_lucida (S13)]",1.01921582316601,1.06056101420231
"B[(Intercept) (C1), Amara_lunicollis (S14)]",1.01525934489257,1.04670418307439
"B[imperv.100m (C2), Amara_lunicollis (S14)]",1.02069535224675,1.07032998710027
"B[dist.water.100m (C3), Amara_lunicollis (S14)]",1.05224542674444,1.17159505916182
"B[temp.100m (C4), Amara_lunicollis (S14)]",1.00931614036169,1.02609820338619
"B[(Intercept) (C1), Amara_makolskii (S15)]",1.04808529085764,1.153678278544
"B[imperv.100m (C2), Amara_makolskii (S15)]",1.03805658863768,1.12776117085923
"B[dist.water.100m (C3), Amara_makolskii (S15)]",1.10385873328184,1.31728676345235
"B[temp.100m (C4), Amara_makolskii (S15)]",1.04593148299799,1.15263281210772
"B[(Intercept) (C1), Amara_municipalis (S16)]",1.0086616805604,1.0312389222601
"B[imperv.100m (C2), Amara_municipalis (S16)]",1.02036672446816,1.06590294009044
"B[dist.water.100m (C3), Amara_municipalis (S16)]",1.01349404917894,1.04790335142586
"B[temp.100m (C4), Amara_municipalis (S16)]",1.0051165969072,1.01878114110922
"B[(Intercept) (C1), Amara_ovata (S17)]",1.00206937536156,1.0075386220715
"B[imperv.100m (C2), Amara_ovata (S17)]",1.0056037630405,1.02024381444274
"B[dist.water.100m (C3), Amara_ovata (S17)]",1.00115406023235,1.00142779953781
"B[temp.100m (C4), Amara_ovata (S17)]",1.00263497765417,1.00933483342259
"B[(Intercept) (C1), Amara_similata (S18)]",1.03065863865736,1.10447837561428
"B[imperv.100m (C2), Amara_similata (S18)]",1.03431904448223,1.11612492344964
"B[dist.water.100m (C3), Amara_similata (S18)]",1.0120386383491,1.0426534428204
"B[temp.100m (C4), Amara_similata (S18)]",1.03570048477248,1.12066998747315
"B[(Intercept) (C1), Amara_tibialis (S19)]",1.12972821640007,1.39419165920384
"B[imperv.100m (C2), Amara_tibialis (S19)]",1.3822834876563,2.00232839705524
"B[dist.water.100m (C3), Amara_tibialis (S19)]",1.00289962185162,1.01036201312171
"B[temp.100m (C4), Amara_tibialis (S19)]",1.10300025650917,1.32102595569124
"B[(Intercept) (C1), Anisodactylus_binotatus (S20)]",1.00946842423774,1.02777521965237
"B[imperv.100m (C2), Anisodactylus_binotatus (S20)]",1.01323150829816,1.04438612681608
"B[dist.water.100m (C3), Anisodactylus_binotatus (S20)]",1.01859010918573,1.05769725436948
"B[temp.100m (C4), Anisodactylus_binotatus (S20)]",1.00976228155787,1.03041765622476
"B[(Intercept) (C1), Badister_bullatus (S21)]",1.00675458347518,1.01784601153926
"B[imperv.100m (C2), Badister_bullatus (S21)]",1.01508944014422,1.05281721312617
"B[dist.water.100m (C3), Badister_bullatus (S21)]",1.00573520429014,1.01957253417675
"B[temp.100m (C4), Badister_bullatus (S21)]",1.00338462736076,1.00436233463608
"B[(Intercept) (C1), Bembidion_lampros (S22)]",1.89799222114345,3.1309230422934
"B[imperv.100m (C2), Bembidion_lampros (S22)]",1.00343656441274,1.01255308221202
"B[dist.water.100m (C3), Bembidion_lampros (S22)]",1.01756250016964,1.05326241955782
"B[temp.100m (C4), Bembidion_lampros (S22)]",2.08734870634387,3.54346710347599
"B[(Intercept) (C1), Bembidion_properans (S23)]",1.03270588500983,1.11196571810311
"B[imperv.100m (C2), Bembidion_properans (S23)]",1.11781552648834,1.3531712933369
"B[dist.water.100m (C3), Bembidion_properans (S23)]",1.03216999298073,1.10790872067567
"B[temp.100m (C4), Bembidion_properans (S23)]",1.01729967515572,1.06056950801224
"B[(Intercept) (C1), Bradycellus_harpalinus (S24)]",1.00866684542032,1.02724042004174
"B[imperv.100m (C2), Bradycellus_harpalinus (S24)]",1.02467692897146,1.0787242821812
"B[dist.water.100m (C3), Bradycellus_harpalinus (S24)]",1.00680433332757,1.02401059383318
"B[temp.100m (C4), Bradycellus_harpalinus (S24)]",1.00694116979996,1.02223356302711
"B[(Intercept) (C1), Calathus_ambiguus (S25)]",1.01438725364108,1.04837069887373
"B[imperv.100m (C2), Calathus_ambiguus (S25)]",1.01149511286188,1.03821777066722
"B[dist.water.100m (C3), Calathus_ambiguus (S25)]",1.06401099280992,1.20171367453901
"B[temp.100m (C4), Calathus_ambiguus (S25)]",1.01315764769028,1.04553424922407
"B[(Intercept) (C1), Calathus_cinctus (S26)]",1.00092784613393,1.00143224248894
"B[imperv.100m (C2), Calathus_cinctus (S26)]",1.04751508108711,1.15236725884019
"B[dist.water.100m (C3), Calathus_cinctus (S26)]",1.04080275254017,1.13774395266163
"B[temp.100m (C4), Calathus_cinctus (S26)]",1.00413296096457,1.0128379768816
"B[(Intercept) (C1), Calathus_erratus (S27)]",1.07207248293432,1.23054044690994
"B[imperv.100m (C2), Calathus_erratus (S27)]",1.00508092926061,1.01562234438411
"B[dist.water.100m (C3), Calathus_erratus (S27)]",1.11756416846281,1.35333187513818
"B[temp.100m (C4), Calathus_erratus (S27)]",1.07466119498,1.23920838245695
"B[(Intercept) (C1), Calathus_fuscipes (S28)]",1.06666194248803,1.20508058402519
"B[imperv.100m (C2), Calathus_fuscipes (S28)]",1.02468227529734,1.0784469045236
"B[dist.water.100m (C3), Calathus_fuscipes (S28)]",1.05510089557024,1.17984457361866
"B[temp.100m (C4), Calathus_fuscipes (S28)]",1.0753363234203,1.23187474179845
"B[(Intercept) (C1), Calathus_melanocephalus (S29)]",1.08476481338539,1.27119572207171
"B[imperv.100m (C2), Calathus_melanocephalus (S29)]",1.02655087679624,1.08898334289001
"B[dist.water.100m (C3), Calathus_melanocephalus (S29)]",1.01905901599151,1.06430979028769
"B[temp.100m (C4), Calathus_melanocephalus (S29)]",1.03826570297244,1.1265915530246
"B[(Intercept) (C1), Carabus_nemoralis (S30)]",1.04746041140715,1.15902495015631
