"","Point est.","Upper C.I."
"Omega1[Amara_aenea (S1), Amara_aenea (S1)]",1.02212818293826,1.07378770820935
"Omega1[Amara_anthobia (S2), Amara_aenea (S1)]",1.01729449321172,1.0366821335713
"Omega1[Amara_apricaria (S3), Amara_aenea (S1)]",1.02999222755042,1.10033224250879
"Omega1[Amara_aulica (S4), Amara_aenea (S1)]",1.02695112080548,1.08102218155689
"Omega1[Amara_bifrons (S5), Amara_aenea (S1)]",1.14554346843583,1.44620069530541
"Omega1[Amara_convexior (S6), Amara_aenea (S1)]",1.23835530234208,1.71300460694272
"Omega1[Amara_curta (S7), Amara_aenea (S1)]",1.12070371173924,1.36471405376771
"Omega1[Amara_equestris (S8), Amara_aenea (S1)]",1.03939733465516,1.1263758966585
"Omega1[Amara_eurynota (S9), Amara_aenea (S1)]",1.02148328676789,1.07308627999679
"Omega1[Amara_familiaris (S10), Amara_aenea (S1)]",1.20915025060283,1.58602163024908
"Omega1[Amara_fulva (S11), Amara_aenea (S1)]",1.01325276479805,1.04084953351561
"Omega1[Amara_fusca (S12), Amara_aenea (S1)]",1.36732062145053,2.03476231032175
"Omega1[Amara_lucida (S13), Amara_aenea (S1)]",1.05757913743484,1.18714887869228
"Omega1[Amara_lunicollis (S14), Amara_aenea (S1)]",1.08175765740557,1.25019758933459
"Omega1[Amara_makolskii (S15), Amara_aenea (S1)]",1.21866137102084,1.63586094667955
"Omega1[Amara_municipalis (S16), Amara_aenea (S1)]",1.05935474625999,1.18882852672722
"Omega1[Amara_ovata (S17), Amara_aenea (S1)]",1.07693419726025,1.23754003052426
"Omega1[Amara_similata (S18), Amara_aenea (S1)]",1.08751902702086,1.27239779604289
"Omega1[Amara_tibialis (S19), Amara_aenea (S1)]",1.24618637861626,1.67725860904586
"Omega1[Anisodactylus_binotatus (S20), Amara_aenea (S1)]",1.00733303285071,1.01639058190224
"Omega1[Badister_bullatus (S21), Amara_aenea (S1)]",1.00752363203217,1.02552328458861
"Omega1[Bembidion_lampros (S22), Amara_aenea (S1)]",1.21502988016509,1.61826571413375
"Omega1[Bembidion_properans (S23), Amara_aenea (S1)]",1.04737808478001,1.15686146893904
"Omega1[Bradycellus_harpalinus (S24), Amara_aenea (S1)]",1.01203845744994,1.03939947324916
"Omega1[Calathus_ambiguus (S25), Amara_aenea (S1)]",1.04770438532427,1.14496962137135
"Omega1[Calathus_cinctus (S26), Amara_aenea (S1)]",1.03737610989081,1.11320237826909
"Omega1[Calathus_erratus (S27), Amara_aenea (S1)]",1.0973300968007,1.30243270574969
"Omega1[Calathus_fuscipes (S28), Amara_aenea (S1)]",1.01338571053803,1.04125947406947
"Omega1[Calathus_melanocephalus (S29), Amara_aenea (S1)]",1.06066147427011,1.18457765634937
"Omega1[Carabus_nemoralis (S30), Amara_aenea (S1)]",1.27026572343038,1.73144870956724
"Omega1[Cicindela_campestris (S31), Amara_aenea (S1)]",1.0114850898315,1.01792890735181
"Omega1[Cicindela_hybrida (S32), Amara_aenea (S1)]",1.18617404533896,1.53215589962734
"Omega1[Harpalus_affinis (S33), Amara_aenea (S1)]",1.10246446011667,1.32105237912132
"Omega1[Harpalus_anxius (S34), Amara_aenea (S1)]",1.05423377852436,1.1703564436507
"Omega1[Harpalus_autumnalis (S35), Amara_aenea (S1)]",1.00290579470476,1.00613527864169
"Omega1[Harpalus_calceatus (S36), Amara_aenea (S1)]",1.08233822052198,1.25450952711692
"Omega1[Harpalus_distinguendus (S37), Amara_aenea (S1)]",1.01880438894661,1.0463364101556
"Omega1[Harpalus_flavescens (S38), Amara_aenea (S1)]",1.05709300073567,1.18172867159835
"Omega1[Harpalus_griseus (S39), Amara_aenea (S1)]",1.22536237841372,1.62598949589302
"Omega1[Harpalus_latus (S40), Amara_aenea (S1)]",1.06484954554494,1.20560237031317
"Omega1[Harpalus_luteicornis (S41), Amara_aenea (S1)]",1.00330636738275,1.0095539720527
"Omega1[Cryptophonus_melancholicus (S42), Amara_aenea (S1)]",1.05796795128915,1.18917992651646
"Omega1[Harpalus_picipennis (S43), Amara_aenea (S1)]",1.07245274428672,1.22783014826821
"Omega1[Harpalus_pumilus (S44), Amara_aenea (S1)]",1.03856365514923,1.12691614641757
"Omega1[Harpalus_rubripes (S45), Amara_aenea (S1)]",1.88637401065742,3.14839671134562
"Omega1[Harpalus_rufipalpis (S46), Amara_aenea (S1)]",1.06492384402445,1.18115530723544
"Omega1[Harpalus_rufipes (S47), Amara_aenea (S1)]",1.68553787854706,2.68102558639665
"Omega1[Harpalus_serripes (S48), Amara_aenea (S1)]",1.15804122999083,1.4763915416224
"Omega1[Semiophonus_signaticornis (S49), Amara_aenea (S1)]",1.03301282149284,1.05187613420141
"Omega1[Harpalus_smaragdinus (S50), Amara_aenea (S1)]",1.10585428125335,1.3259969457056
"Omega1[Harpalus_tardus (S51), Amara_aenea (S1)]",1.02978462522928,1.0791798421836
"Omega1[Leistus_ferrugineus (S52), Amara_aenea (S1)]",1.11566492098205,1.35964068207616
"Omega1[Leistus_rufomarginatus (S53), Amara_aenea (S1)]",1.05852332540739,1.18215458889585
"Omega1[Licinus_depressus (S54), Amara_aenea (S1)]",1.01315508720645,1.04032346629465
"Omega1[Loricera_pilicornis (S55), Amara_aenea (S1)]",1.01626099688797,1.05376988907937
"Omega1[Masoreus_wetterhallii (S56), Amara_aenea (S1)]",1.00762507004406,1.02637661046138
"Omega1[Microlestes_minutulus (S57), Amara_aenea (S1)]",1.16713961463442,1.50315198985422
"Omega1[Nebria_brevicollis (S58), Amara_aenea (S1)]",1.24041917527942,1.67753482191268
"Omega1[Nebria_salina (S59), Amara_aenea (S1)]",1.01143723970972,1.02493590379788
"Omega1[Notiophilus_aestuans (S60), Amara_aenea (S1)]",1.01115034215371,1.04013199727228
"Omega1[Notiophilus_aquaticus (S61), Amara_aenea (S1)]",1.02845964378638,1.09553930566065
"Omega1[Notiophilus_palustris (S62), Amara_aenea (S1)]",1.03991229417464,1.12357874773139
"Omega1[Panagaeus_bipustulatus (S63), Amara_aenea (S1)]",1.02918976576704,1.09718632385108
"Omega1[Poecilus_cupreus (S64), Amara_aenea (S1)]",1.08140799597105,1.24672398271978
"Omega1[Poecilus_lepidus (S65), Amara_aenea (S1)]",1.57467791129063,2.52049991884784
"Omega1[Poecilus_versicolor (S66), Amara_aenea (S1)]",1.40629954430079,2.0621696663209
"Omega1[Pterostichus_diligens (S67), Amara_aenea (S1)]",1.02431079404609,1.06553764403973
"Omega1[Pterostichus_niger (S68), Amara_aenea (S1)]",1.06299611043549,1.1945725282731
"Omega1[Pterostichus_vernalis (S69), Amara_aenea (S1)]",1.00429609523596,1.00682798083652
"Omega1[Stenolophus_teutonus (S70), Amara_aenea (S1)]",1.03223689417836,1.10386000070526
"Omega1[Syntomus_foveatus (S71), Amara_aenea (S1)]",1.06451958511263,1.17353168014414
"Omega1[Syntomus_truncatellus (S72), Amara_aenea (S1)]",1.37390232097147,1.97835992873846
"Omega1[Trechus_quadristriatus (S73), Amara_aenea (S1)]",1.00978975656417,1.0304778235354
"Omega1[Amara_aenea (S1), Amara_anthobia (S2)]",1.01729449321172,1.0366821335713
"Omega1[Amara_anthobia (S2), Amara_anthobia (S2)]",1.73036511058126,4.46659580615613
"Omega1[Amara_apricaria (S3), Amara_anthobia (S2)]",1.52800278004843,2.68509130579219
"Omega1[Amara_aulica (S4), Amara_anthobia (S2)]",1.03322483464379,1.03364337249624
"Omega1[Amara_bifrons (S5), Amara_anthobia (S2)]",2.27725709883098,5.71247687973287
"Omega1[Amara_convexior (S6), Amara_anthobia (S2)]",1.24370049668368,1.71934364978977
"Omega1[Amara_curta (S7), Amara_anthobia (S2)]",1.24211283474848,1.75071655716762
"Omega1[Amara_equestris (S8), Amara_anthobia (S2)]",1.23524691410073,1.75772931916842
"Omega1[Amara_eurynota (S9), Amara_anthobia (S2)]",1.08032200183536,1.21337258437915
"Omega1[Amara_familiaris (S10), Amara_anthobia (S2)]",1.19294481683718,1.57425987470528
"Omega1[Amara_fulva (S11), Amara_anthobia (S2)]",1.41434416957617,2.33162401641051
"Omega1[Amara_fusca (S12), Amara_anthobia (S2)]",1.60427601875875,3.25018313264431
"Omega1[Amara_lucida (S13), Amara_anthobia (S2)]",1.07472771298049,1.21780353441695
"Omega1[Amara_lunicollis (S14), Amara_anthobia (S2)]",1.62539005456988,2.84752349889349
"Omega1[Amara_makolskii (S15), Amara_anthobia (S2)]",1.67766027376473,3.49234104820007
"Omega1[Amara_municipalis (S16), Amara_anthobia (S2)]",1.17398394485959,1.50457163121685
"Omega1[Amara_ovata (S17), Amara_anthobia (S2)]",1.08226083507031,1.16943815876581
"Omega1[Amara_similata (S18), Amara_anthobia (S2)]",1.18557240853903,1.58379784742866
"Omega1[Amara_tibialis (S19), Amara_anthobia (S2)]",1.02083548462335,1.05588534113237
"Omega1[Anisodactylus_binotatus (S20), Amara_anthobia (S2)]",1.06265485064636,1.07587638526793
"Omega1[Badister_bullatus (S21), Amara_anthobia (S2)]",1.09924549817124,1.2374761596017
"Omega1[Bembidion_lampros (S22), Amara_anthobia (S2)]",1.56035654504774,2.48314056315955
"Omega1[Bembidion_properans (S23), Amara_anthobia (S2)]",1.11835919279928,1.33970030151616
"Omega1[Bradycellus_harpalinus (S24), Amara_anthobia (S2)]",1.08740154567011,1.16982031205585
"Omega1[Calathus_ambiguus (S25), Amara_anthobia (S2)]",1.78373871746316,3.34498449687347
"Omega1[Calathus_cinctus (S26), Amara_anthobia (S2)]",1.30705285366569,2.00373948263236
"Omega1[Calathus_erratus (S27), Amara_anthobia (S2)]",1.18785505630977,1.54208172379336
"Omega1[Calathus_fuscipes (S28), Amara_anthobia (S2)]",1.08289246005736,1.16639964032977
"Omega1[Calathus_melanocephalus (S29), Amara_anthobia (S2)]",1.99211622640629,3.81071841620773
"Omega1[Carabus_nemoralis (S30), Amara_anthobia (S2)]",1.04035417615816,1.10279655793058
"Omega1[Cicindela_campestris (S31), Amara_anthobia (S2)]",1.17160713949892,1.49774131814071
"Omega1[Cicindela_hybrida (S32), Amara_anthobia (S2)]",1.21322157241276,1.63509779055572
"Omega1[Harpalus_affinis (S33), Amara_anthobia (S2)]",1.0211345535062,1.0281890444851
"Omega1[Harpalus_anxius (S34), Amara_anthobia (S2)]",1.63461708725028,2.6953300234703
"Omega1[Harpalus_autumnalis (S35), Amara_anthobia (S2)]",1.04280747251957,1.13844779161761
"Omega1[Harpalus_calceatus (S36), Amara_anthobia (S2)]",1.11162023691595,1.34328739439785
"Omega1[Harpalus_distinguendus (S37), Amara_anthobia (S2)]",1.10396943694179,1.30387146402668
"Omega1[Harpalus_flavescens (S38), Amara_anthobia (S2)]",1.05494281164163,1.13826305591767
"Omega1[Harpalus_griseus (S39), Amara_anthobia (S2)]",1.0348713860366,1.09563448287832
"Omega1[Harpalus_latus (S40), Amara_anthobia (S2)]",1.32043087414643,2.0805128364215
"Omega1[Harpalus_luteicornis (S41), Amara_anthobia (S2)]",1.55236685141614,2.88439549295181
"Omega1[Cryptophonus_melancholicus (S42), Amara_anthobia (S2)]",1.04999664271579,1.09060175658682
"Omega1[Harpalus_picipennis (S43), Amara_anthobia (S2)]",1.43048149025258,2.41507579682336
"Omega1[Harpalus_pumilus (S44), Amara_anthobia (S2)]",1.31954692982507,1.86960272517068
"Omega1[Harpalus_rubripes (S45), Amara_anthobia (S2)]",1.0564116173402,1.05675147653921
"Omega1[Harpalus_rufipalpis (S46), Amara_anthobia (S2)]",1.16227630526661,1.46448404781306
"Omega1[Harpalus_rufipes (S47), Amara_anthobia (S2)]",1.09958325076849,1.26867127708337
"Omega1[Harpalus_serripes (S48), Amara_anthobia (S2)]",1.58564013772229,2.79734755527674
"Omega1[Semiophonus_signaticornis (S49), Amara_anthobia (S2)]",1.72778284701888,2.91150268492602
"Omega1[Harpalus_smaragdinus (S50), Amara_anthobia (S2)]",1.1247667228921,1.37675502957293
"Omega1[Harpalus_tardus (S51), Amara_anthobia (S2)]",1.03918188938867,1.12055306956143
"Omega1[Leistus_ferrugineus (S52), Amara_anthobia (S2)]",1.05061903633277,1.14586578659635
"Omega1[Leistus_rufomarginatus (S53), Amara_anthobia (S2)]",1.0277805324231,1.06464708944631
"Omega1[Licinus_depressus (S54), Amara_anthobia (S2)]",1.07225619047876,1.09412298273056
"Omega1[Loricera_pilicornis (S55), Amara_anthobia (S2)]",1.30601001595198,1.98445143330569
"Omega1[Masoreus_wetterhallii (S56), Amara_anthobia (S2)]",1.16699465849927,1.4672873796857
"Omega1[Microlestes_minutulus (S57), Amara_anthobia (S2)]",1.22172165710969,1.62550870021451
"Omega1[Nebria_brevicollis (S58), Amara_anthobia (S2)]",1.06173260798798,1.15701754849589
"Omega1[Nebria_salina (S59), Amara_anthobia (S2)]",1.21119968177827,1.62779292431754
"Omega1[Notiophilus_aestuans (S60), Amara_anthobia (S2)]",1.07671070778207,1.09201765020437
"Omega1[Notiophilus_aquaticus (S61), Amara_anthobia (S2)]",1.02481464486848,1.02609399740028
"Omega1[Notiophilus_palustris (S62), Amara_anthobia (S2)]",1.21840826257194,1.63238752315096
"Omega1[Panagaeus_bipustulatus (S63), Amara_anthobia (S2)]",1.10950302205928,1.28945960058685
"Omega1[Poecilus_cupreus (S64), Amara_anthobia (S2)]",1.08081539585087,1.20412793599467
"Omega1[Poecilus_lepidus (S65), Amara_anthobia (S2)]",1.21351764477805,1.72741328724768
"Omega1[Poecilus_versicolor (S66), Amara_anthobia (S2)]",1.01246451812724,1.01622184525551
"Omega1[Pterostichus_diligens (S67), Amara_anthobia (S2)]",1.15818546605116,1.44202193757418
"Omega1[Pterostichus_niger (S68), Amara_anthobia (S2)]",1.25696983963017,1.77611197531986
"Omega1[Pterostichus_vernalis (S69), Amara_anthobia (S2)]",1.07784307387052,1.1473607626137
"Omega1[Stenolophus_teutonus (S70), Amara_anthobia (S2)]",1.11595718479322,1.31373851815657
"Omega1[Syntomus_foveatus (S71), Amara_anthobia (S2)]",1.07671270392853,1.19754802727579
"Omega1[Syntomus_truncatellus (S72), Amara_anthobia (S2)]",1.32382430582724,1.86313927362136
"Omega1[Trechus_quadristriatus (S73), Amara_anthobia (S2)]",1.15586584819707,1.44563904084501
"Omega1[Amara_aenea (S1), Amara_apricaria (S3)]",1.02999222755042,1.10033224250879
"Omega1[Amara_anthobia (S2), Amara_apricaria (S3)]",1.52800278004843,2.68509130579219
"Omega1[Amara_apricaria (S3), Amara_apricaria (S3)]",1.05656767558726,1.15867909293501
"Omega1[Amara_aulica (S4), Amara_apricaria (S3)]",1.06235945241596,1.15257265552495
"Omega1[Amara_bifrons (S5), Amara_apricaria (S3)]",1.88350852922127,3.56891420036064
"Omega1[Amara_convexior (S6), Amara_apricaria (S3)]",1.57066932591516,2.5291994146251
"Omega1[Amara_curta (S7), Amara_apricaria (S3)]",1.09559978551326,1.30299015867447
"Omega1[Amara_equestris (S8), Amara_apricaria (S3)]",1.05802234435033,1.16012423393007
"Omega1[Amara_eurynota (S9), Amara_apricaria (S3)]",1.01500607596419,1.03530562750292
"Omega1[Amara_familiaris (S10), Amara_apricaria (S3)]",1.25332372300269,1.7405753109515
"Omega1[Amara_fulva (S11), Amara_apricaria (S3)]",1.12897324750156,1.36909112699633
"Omega1[Amara_fusca (S12), Amara_apricaria (S3)]",1.05298163514851,1.17034167988729
"Omega1[Amara_lucida (S13), Amara_apricaria (S3)]",1.11235694475259,1.33669828057162
"Omega1[Amara_lunicollis (S14), Amara_apricaria (S3)]",1.47027566457158,2.26091978436521
"Omega1[Amara_makolskii (S15), Amara_apricaria (S3)]",1.71758273906883,3.06828971498865
"Omega1[Amara_municipalis (S16), Amara_apricaria (S3)]",1.08885366209092,1.26506864014731
"Omega1[Amara_ovata (S17), Amara_apricaria (S3)]",1.00654631783432,1.02146432677104
"Omega1[Amara_similata (S18), Amara_apricaria (S3)]",1.04077895896646,1.10139910934258
"Omega1[Amara_tibialis (S19), Amara_apricaria (S3)]",1.03288077263024,1.09974950907009
"Omega1[Anisodactylus_binotatus (S20), Amara_apricaria (S3)]",1.01476905783836,1.042979593905
"Omega1[Badister_bullatus (S21), Amara_apricaria (S3)]",1.18727004618668,1.5327255982093
"Omega1[Bembidion_lampros (S22), Amara_apricaria (S3)]",1.83868880663894,3.02083357925649
"Omega1[Bembidion_properans (S23), Amara_apricaria (S3)]",1.04464383173421,1.14855141184847
"Omega1[Bradycellus_harpalinus (S24), Amara_apricaria (S3)]",1.0179039804968,1.05647786963094
"Omega1[Calathus_ambiguus (S25), Amara_apricaria (S3)]",1.16067999135685,1.46511326216353
"Omega1[Calathus_cinctus (S26), Amara_apricaria (S3)]",1.03250456173971,1.04571702697361
"Omega1[Calathus_erratus (S27), Amara_apricaria (S3)]",1.05746383058956,1.1858723374906
