"","x"
"B[(Intercept) (C1), Calliptamus_italicus (S1)]",3269.47307859849
"B[imperv.100m (C2), Calliptamus_italicus (S1)]",322.76580029612
"B[open.green.500m (C3), Calliptamus_italicus (S1)]",2054.73944297311
"B[(Intercept) (C1), Chorthippus_albomarginatus (S2)]",2412.37008580955
"B[imperv.100m (C2), Chorthippus_albomarginatus (S2)]",668.005200422681
"B[open.green.500m (C3), Chorthippus_albomarginatus (S2)]",4679.10576217583
"B[(Intercept) (C1), Chorthippus_apricarius (S3)]",5862.27983918561
"B[imperv.100m (C2), Chorthippus_apricarius (S3)]",1740.498993531
"B[open.green.500m (C3), Chorthippus_apricarius (S3)]",8782.30002971597
"B[(Intercept) (C1), Chorthippus_biguttulus (S4)]",2951.80851463648
"B[imperv.100m (C2), Chorthippus_biguttulus (S4)]",2226.29127469419
"B[open.green.500m (C3), Chorthippus_biguttulus (S4)]",5166.12351083497
"B[(Intercept) (C1), Chorthippus_brunneus (S5)]",3803.21561056868
"B[imperv.100m (C2), Chorthippus_brunneus (S5)]",4324.30384101095
"B[open.green.500m (C3), Chorthippus_brunneus (S5)]",8581.29406226782
"B[(Intercept) (C1), Chorthippus_dorsatus (S6)]",3454.78472957838
"B[imperv.100m (C2), Chorthippus_dorsatus (S6)]",2915.20395150496
"B[open.green.500m (C3), Chorthippus_dorsatus (S6)]",7707.96198156076
"B[(Intercept) (C1), Chorthippus_mollis (S7)]",3567.96124476098
"B[imperv.100m (C2), Chorthippus_mollis (S7)]",4510.76374061617
"B[open.green.500m (C3), Chorthippus_mollis (S7)]",5050.59743755099
"B[(Intercept) (C1), Chorthippus_parallelus (S8)]",2188.89247231223
"B[imperv.100m (C2), Chorthippus_parallelus (S8)]",730.582345376104
"B[open.green.500m (C3), Chorthippus_parallelus (S8)]",2655.92640188773
"B[(Intercept) (C1), Conocephalus_discolor (S9)]",1469.83586739375
"B[imperv.100m (C2), Conocephalus_discolor (S9)]",554.969130972799
"B[open.green.500m (C3), Conocephalus_discolor (S9)]",3796.88060394263
"B[(Intercept) (C1), Bicolorana_bicolor (S10)]",3340.4297973489
"B[imperv.100m (C2), Bicolorana_bicolor (S10)]",715.387960991686
"B[open.green.500m (C3), Bicolorana_bicolor (S10)]",3818.47503305942
"B[(Intercept) (C1), Roeseliana_roeselii (S11)]",1199.20521369183
"B[imperv.100m (C2), Roeseliana_roeselii (S11)]",333.947527714453
"B[open.green.500m (C3), Roeseliana_roeselii (S11)]",2334.15704341558
"B[(Intercept) (C1), Myrmeleotettix_maculatus (S12)]",818.459284510631
"B[imperv.100m (C2), Myrmeleotettix_maculatus (S12)]",169.371570829873
"B[open.green.500m (C3), Myrmeleotettix_maculatus (S12)]",1408.05722391627
"B[(Intercept) (C1), Oedipoda_caerulescens (S13)]",2476.84513697382
"B[imperv.100m (C2), Oedipoda_caerulescens (S13)]",563.363909936591
"B[open.green.500m (C3), Oedipoda_caerulescens (S13)]",3241.76474665295
"B[(Intercept) (C1), Phaneroptera_falcata (S14)]",5406.47572387839
"B[imperv.100m (C2), Phaneroptera_falcata (S14)]",600.416912966263
"B[open.green.500m (C3), Phaneroptera_falcata (S14)]",6338.65623067791
"B[(Intercept) (C1), Platycleis_albopunctata (S15)]",3415.80163959089
"B[imperv.100m (C2), Platycleis_albopunctata (S15)]",339.794077352561
"B[open.green.500m (C3), Platycleis_albopunctata (S15)]",3548.02065621157
"B[(Intercept) (C1), Stenobothrus_lineatus (S16)]",695.173461963207
"B[imperv.100m (C2), Stenobothrus_lineatus (S16)]",315.317750058554
"B[open.green.500m (C3), Stenobothrus_lineatus (S16)]",2708.73408290587
"B[(Intercept) (C1), Stethophyma_grossum (S17)]",596.990218459115
"B[imperv.100m (C2), Stethophyma_grossum (S17)]",291.908206658654
"B[open.green.500m (C3), Stethophyma_grossum (S17)]",1666.91619364948
"B[(Intercept) (C1), Tettigonia_viridissima (S18)]",1752.01678611958
"B[imperv.100m (C2), Tettigonia_viridissima (S18)]",402.591316348959
"B[open.green.500m (C3), Tettigonia_viridissima (S18)]",3159.1807363954
