"","x"
"Omega1[Calliptamus_italicus (S1), Calliptamus_italicus (S1)]",4480.16185148942
"Omega1[Chorthippus_albomarginatus (S2), Calliptamus_italicus (S1)]",4024.43854331408
"Omega1[Chorthippus_apricarius (S3), Calliptamus_italicus (S1)]",5837.27554138203
"Omega1[Chorthippus_biguttulus (S4), Calliptamus_italicus (S1)]",5072.23179116361
"Omega1[Chorthippus_brunneus (S5), Calliptamus_italicus (S1)]",4390.40568769201
"Omega1[Chorthippus_dorsatus (S6), Calliptamus_italicus (S1)]",6911.95964290489
"Omega1[Chorthippus_mollis (S7), Calliptamus_italicus (S1)]",6308.02898410421
"Omega1[Chorthippus_parallelus (S8), Calliptamus_italicus (S1)]",4265.10934705321
"Omega1[Conocephalus_discolor (S9), Calliptamus_italicus (S1)]",4298.84149528395
"Omega1[Bicolorana_bicolor (S10), Calliptamus_italicus (S1)]",4257.02163347172
"Omega1[Roeseliana_roeselii (S11), Calliptamus_italicus (S1)]",4512.69073128736
"Omega1[Myrmeleotettix_maculatus (S12), Calliptamus_italicus (S1)]",4049.41597959766
"Omega1[Oedipoda_caerulescens (S13), Calliptamus_italicus (S1)]",3819.73371643494
"Omega1[Phaneroptera_falcata (S14), Calliptamus_italicus (S1)]",7228.38328815537
"Omega1[Platycleis_albopunctata (S15), Calliptamus_italicus (S1)]",3634.30918842165
"Omega1[Stenobothrus_lineatus (S16), Calliptamus_italicus (S1)]",9499.5231370751
"Omega1[Stethophyma_grossum (S17), Calliptamus_italicus (S1)]",4814.65265323263
"Omega1[Tettigonia_viridissima (S18), Calliptamus_italicus (S1)]",4461.32584177258
"Omega1[Calliptamus_italicus (S1), Chorthippus_albomarginatus (S2)]",4024.43854331408
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_albomarginatus (S2)]",1070.83822822211
"Omega1[Chorthippus_apricarius (S3), Chorthippus_albomarginatus (S2)]",1706.41087721885
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_albomarginatus (S2)]",956.573377638513
"Omega1[Chorthippus_brunneus (S5), Chorthippus_albomarginatus (S2)]",2335.57716819412
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_albomarginatus (S2)]",1624.55118969954
"Omega1[Chorthippus_mollis (S7), Chorthippus_albomarginatus (S2)]",1745.88422933725
"Omega1[Chorthippus_parallelus (S8), Chorthippus_albomarginatus (S2)]",982.333607327438
"Omega1[Conocephalus_discolor (S9), Chorthippus_albomarginatus (S2)]",1082.62825229303
"Omega1[Bicolorana_bicolor (S10), Chorthippus_albomarginatus (S2)]",925.888430373922
"Omega1[Roeseliana_roeselii (S11), Chorthippus_albomarginatus (S2)]",952.508413267644
"Omega1[Myrmeleotettix_maculatus (S12), Chorthippus_albomarginatus (S2)]",960.645909234836
"Omega1[Oedipoda_caerulescens (S13), Chorthippus_albomarginatus (S2)]",1148.63920359651
"Omega1[Phaneroptera_falcata (S14), Chorthippus_albomarginatus (S2)]",3738.86786113607
"Omega1[Platycleis_albopunctata (S15), Chorthippus_albomarginatus (S2)]",1053.55131003334
"Omega1[Stenobothrus_lineatus (S16), Chorthippus_albomarginatus (S2)]",2200.48388665844
"Omega1[Stethophyma_grossum (S17), Chorthippus_albomarginatus (S2)]",439.259889438623
"Omega1[Tettigonia_viridissima (S18), Chorthippus_albomarginatus (S2)]",1764.4527406485
"Omega1[Calliptamus_italicus (S1), Chorthippus_apricarius (S3)]",5837.27554138203
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_apricarius (S3)]",1706.41087721885
"Omega1[Chorthippus_apricarius (S3), Chorthippus_apricarius (S3)]",2053.14652535788
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_apricarius (S3)]",2313.92992540922
"Omega1[Chorthippus_brunneus (S5), Chorthippus_apricarius (S3)]",1099.45143394549
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_apricarius (S3)]",2566.91464329854
"Omega1[Chorthippus_mollis (S7), Chorthippus_apricarius (S3)]",2666.53414846058
"Omega1[Chorthippus_parallelus (S8), Chorthippus_apricarius (S3)]",2324.44268761262
"Omega1[Conocephalus_discolor (S9), Chorthippus_apricarius (S3)]",1027.73954420157
"Omega1[Bicolorana_bicolor (S10), Chorthippus_apricarius (S3)]",1981.63053320167
"Omega1[Roeseliana_roeselii (S11), Chorthippus_apricarius (S3)]",1420.25605579159
"Omega1[Myrmeleotettix_maculatus (S12), Chorthippus_apricarius (S3)]",1511.54998175867
"Omega1[Oedipoda_caerulescens (S13), Chorthippus_apricarius (S3)]",2166.5406662559
"Omega1[Phaneroptera_falcata (S14), Chorthippus_apricarius (S3)]",4307.92035835239
"Omega1[Platycleis_albopunctata (S15), Chorthippus_apricarius (S3)]",1801.68658644665
"Omega1[Stenobothrus_lineatus (S16), Chorthippus_apricarius (S3)]",2564.91214960781
"Omega1[Stethophyma_grossum (S17), Chorthippus_apricarius (S3)]",739.43110258575
"Omega1[Tettigonia_viridissima (S18), Chorthippus_apricarius (S3)]",1604.16606774874
"Omega1[Calliptamus_italicus (S1), Chorthippus_biguttulus (S4)]",5072.23179116361
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_biguttulus (S4)]",956.573377638513
"Omega1[Chorthippus_apricarius (S3), Chorthippus_biguttulus (S4)]",2313.92992540922
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_biguttulus (S4)]",1418.43326795168
"Omega1[Chorthippus_brunneus (S5), Chorthippus_biguttulus (S4)]",1720.53939876653
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_biguttulus (S4)]",760.4464222953
"Omega1[Chorthippus_mollis (S7), Chorthippus_biguttulus (S4)]",936.405855611859
"Omega1[Chorthippus_parallelus (S8), Chorthippus_biguttulus (S4)]",757.153957148485
"Omega1[Conocephalus_discolor (S9), Chorthippus_biguttulus (S4)]",284.358387759502
"Omega1[Bicolorana_bicolor (S10), Chorthippus_biguttulus (S4)]",700.295200318657
"Omega1[Roeseliana_roeselii (S11), Chorthippus_biguttulus (S4)]",669.631030497548
"Omega1[Myrmeleotettix_maculatus (S12), Chorthippus_biguttulus (S4)]",585.090822649346
"Omega1[Oedipoda_caerulescens (S13), Chorthippus_biguttulus (S4)]",750.968664284783
"Omega1[Phaneroptera_falcata (S14), Chorthippus_biguttulus (S4)]",3312.88623129464
"Omega1[Platycleis_albopunctata (S15), Chorthippus_biguttulus (S4)]",904.212518240124
"Omega1[Stenobothrus_lineatus (S16), Chorthippus_biguttulus (S4)]",1162.66690501756
"Omega1[Stethophyma_grossum (S17), Chorthippus_biguttulus (S4)]",288.269123381644
"Omega1[Tettigonia_viridissima (S18), Chorthippus_biguttulus (S4)]",1000.61850153792
"Omega1[Calliptamus_italicus (S1), Chorthippus_brunneus (S5)]",4390.40568769201
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_brunneus (S5)]",2335.57716819412
"Omega1[Chorthippus_apricarius (S3), Chorthippus_brunneus (S5)]",1099.45143394549
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_brunneus (S5)]",1720.53939876653
"Omega1[Chorthippus_brunneus (S5), Chorthippus_brunneus (S5)]",250.491044158522
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_brunneus (S5)]",517.511837516361
"Omega1[Chorthippus_mollis (S7), Chorthippus_brunneus (S5)]",42.2926105276802
"Omega1[Chorthippus_parallelus (S8), Chorthippus_brunneus (S5)]",2677.03929882004
"Omega1[Conocephalus_discolor (S9), Chorthippus_brunneus (S5)]",479.818725865448
"Omega1[Bicolorana_bicolor (S10), Chorthippus_brunneus (S5)]",833.862597388211
"Omega1[Roeseliana_roeselii (S11), Chorthippus_brunneus (S5)]",902.994483319785
"Omega1[Myrmeleotettix_maculatus (S12), Chorthippus_brunneus (S5)]",461.926434472515
"Omega1[Oedipoda_caerulescens (S13), Chorthippus_brunneus (S5)]",759.354701845704
"Omega1[Phaneroptera_falcata (S14), Chorthippus_brunneus (S5)]",2301.60865711138
"Omega1[Platycleis_albopunctata (S15), Chorthippus_brunneus (S5)]",1356.13382698321
"Omega1[Stenobothrus_lineatus (S16), Chorthippus_brunneus (S5)]",2050.82245367593
"Omega1[Stethophyma_grossum (S17), Chorthippus_brunneus (S5)]",437.736254080815
"Omega1[Tettigonia_viridissima (S18), Chorthippus_brunneus (S5)]",567.325867242893
"Omega1[Calliptamus_italicus (S1), Chorthippus_dorsatus (S6)]",6911.95964290489
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_dorsatus (S6)]",1624.55118969954
"Omega1[Chorthippus_apricarius (S3), Chorthippus_dorsatus (S6)]",2566.91464329854
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_dorsatus (S6)]",760.4464222953
"Omega1[Chorthippus_brunneus (S5), Chorthippus_dorsatus (S6)]",517.511837516361
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_dorsatus (S6)]",1836.99831991077
"Omega1[Chorthippus_mollis (S7), Chorthippus_dorsatus (S6)]",1048.29369413891
"Omega1[Chorthippus_parallelus (S8), Chorthippus_dorsatus (S6)]",787.225538669103
"Omega1[Conocephalus_discolor (S9), Chorthippus_dorsatus (S6)]",913.520644051147
"Omega1[Bicolorana_bicolor (S10), Chorthippus_dorsatus (S6)]",1345.18040672567
"Omega1[Roeseliana_roeselii (S11), Chorthippus_dorsatus (S6)]",812.034953038622
"Omega1[Myrmeleotettix_maculatus (S12), Chorthippus_dorsatus (S6)]",684.4087297017
"Omega1[Oedipoda_caerulescens (S13), Chorthippus_dorsatus (S6)]",1656.75244030341
"Omega1[Phaneroptera_falcata (S14), Chorthippus_dorsatus (S6)]",6183.02089521631
"Omega1[Platycleis_albopunctata (S15), Chorthippus_dorsatus (S6)]",1400.0144993748
"Omega1[Stenobothrus_lineatus (S16), Chorthippus_dorsatus (S6)]",275.864021209483
"Omega1[Stethophyma_grossum (S17), Chorthippus_dorsatus (S6)]",878.971756678974
"Omega1[Tettigonia_viridissima (S18), Chorthippus_dorsatus (S6)]",1066.34981528151
"Omega1[Calliptamus_italicus (S1), Chorthippus_mollis (S7)]",6308.02898410421
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_mollis (S7)]",1745.88422933725
"Omega1[Chorthippus_apricarius (S3), Chorthippus_mollis (S7)]",2666.53414846058
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_mollis (S7)]",936.405855611859
"Omega1[Chorthippus_brunneus (S5), Chorthippus_mollis (S7)]",42.2926105276802
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_mollis (S7)]",1048.29369413891
"Omega1[Chorthippus_mollis (S7), Chorthippus_mollis (S7)]",1029.59800807889
"Omega1[Chorthippus_parallelus (S8), Chorthippus_mollis (S7)]",658.186140923345
"Omega1[Conocephalus_discolor (S9), Chorthippus_mollis (S7)]",395.294267131566
"Omega1[Bicolorana_bicolor (S10), Chorthippus_mollis (S7)]",1477.98067127884
"Omega1[Roeseliana_roeselii (S11), Chorthippus_mollis (S7)]",1301.74560146706
"Omega1[Myrmeleotettix_maculatus (S12), Chorthippus_mollis (S7)]",1195.3731443298
"Omega1[Oedipoda_caerulescens (S13), Chorthippus_mollis (S7)]",1400.86056611345
"Omega1[Phaneroptera_falcata (S14), Chorthippus_mollis (S7)]",4439.2800891901
"Omega1[Platycleis_albopunctata (S15), Chorthippus_mollis (S7)]",1327.76701902115
"Omega1[Stenobothrus_lineatus (S16), Chorthippus_mollis (S7)]",173.91537111145
"Omega1[Stethophyma_grossum (S17), Chorthippus_mollis (S7)]",452.090223311826
"Omega1[Tettigonia_viridissima (S18), Chorthippus_mollis (S7)]",1291.62011897015
"Omega1[Calliptamus_italicus (S1), Chorthippus_parallelus (S8)]",4265.10934705321
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_parallelus (S8)]",982.333607327438
"Omega1[Chorthippus_apricarius (S3), Chorthippus_parallelus (S8)]",2324.44268761262
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_parallelus (S8)]",757.153957148485
"Omega1[Chorthippus_brunneus (S5), Chorthippus_parallelus (S8)]",2677.03929882004
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_parallelus (S8)]",787.225538669103
"Omega1[Chorthippus_mollis (S7), Chorthippus_parallelus (S8)]",658.186140923345
"Omega1[Chorthippus_parallelus (S8), Chorthippus_parallelus (S8)]",842.289244721911
"Omega1[Conocephalus_discolor (S9), Chorthippus_parallelus (S8)]",722.129876063176
"Omega1[Bicolorana_bicolor (S10), Chorthippus_parallelus (S8)]",662.185277671955
"Omega1[Roeseliana_roeselii (S11), Chorthippus_parallelus (S8)]",588.852904206557
"Omega1[Myrmeleotettix_maculatus (S12), Chorthippus_parallelus (S8)]",432.43475672393
"Omega1[Oedipoda_caerulescens (S13), Chorthippus_parallelus (S8)]",715.498450685807
"Omega1[Phaneroptera_falcata (S14), Chorthippus_parallelus (S8)]",3274.61165786917
"Omega1[Platycleis_albopunctata (S15), Chorthippus_parallelus (S8)]",631.811000288672
"Omega1[Stenobothrus_lineatus (S16), Chorthippus_parallelus (S8)]",1056.427027422
"Omega1[Stethophyma_grossum (S17), Chorthippus_parallelus (S8)]",227.209885289773
"Omega1[Tettigonia_viridissima (S18), Chorthippus_parallelus (S8)]",1265.28652572705
"Omega1[Calliptamus_italicus (S1), Conocephalus_discolor (S9)]",4298.84149528395
"Omega1[Chorthippus_albomarginatus (S2), Conocephalus_discolor (S9)]",1082.62825229303
"Omega1[Chorthippus_apricarius (S3), Conocephalus_discolor (S9)]",1027.73954420157
"Omega1[Chorthippus_biguttulus (S4), Conocephalus_discolor (S9)]",284.358387759502
"Omega1[Chorthippus_brunneus (S5), Conocephalus_discolor (S9)]",479.818725865448
"Omega1[Chorthippus_dorsatus (S6), Conocephalus_discolor (S9)]",913.520644051147
"Omega1[Chorthippus_mollis (S7), Conocephalus_discolor (S9)]",395.294267131566
"Omega1[Chorthippus_parallelus (S8), Conocephalus_discolor (S9)]",722.129876063176
"Omega1[Conocephalus_discolor (S9), Conocephalus_discolor (S9)]",471.17906038141
"Omega1[Bicolorana_bicolor (S10), Conocephalus_discolor (S9)]",848.536148518236
"Omega1[Roeseliana_roeselii (S11), Conocephalus_discolor (S9)]",476.052108786542
"Omega1[Myrmeleotettix_maculatus (S12), Conocephalus_discolor (S9)]",644.678207120867
"Omega1[Oedipoda_caerulescens (S13), Conocephalus_discolor (S9)]",670.6927002604
"Omega1[Phaneroptera_falcata (S14), Conocephalus_discolor (S9)]",1455.86634257581
"Omega1[Platycleis_albopunctata (S15), Conocephalus_discolor (S9)]",1017.92334220334
"Omega1[Stenobothrus_lineatus (S16), Conocephalus_discolor (S9)]",2173.00039551798
"Omega1[Stethophyma_grossum (S17), Conocephalus_discolor (S9)]",673.197801834221
"Omega1[Tettigonia_viridissima (S18), Conocephalus_discolor (S9)]",447.45652209644
"Omega1[Calliptamus_italicus (S1), Bicolorana_bicolor (S10)]",4257.02163347172
"Omega1[Chorthippus_albomarginatus (S2), Bicolorana_bicolor (S10)]",925.888430373922
"Omega1[Chorthippus_apricarius (S3), Bicolorana_bicolor (S10)]",1981.63053320167
"Omega1[Chorthippus_biguttulus (S4), Bicolorana_bicolor (S10)]",700.295200318657
"Omega1[Chorthippus_brunneus (S5), Bicolorana_bicolor (S10)]",833.862597388211
"Omega1[Chorthippus_dorsatus (S6), Bicolorana_bicolor (S10)]",1345.18040672567
"Omega1[Chorthippus_mollis (S7), Bicolorana_bicolor (S10)]",1477.98067127884
"Omega1[Chorthippus_parallelus (S8), Bicolorana_bicolor (S10)]",662.185277671955
"Omega1[Conocephalus_discolor (S9), Bicolorana_bicolor (S10)]",848.536148518236
"Omega1[Bicolorana_bicolor (S10), Bicolorana_bicolor (S10)]",846.003927103293
"Omega1[Roeseliana_roeselii (S11), Bicolorana_bicolor (S10)]",584.488508014962
"Omega1[Myrmeleotettix_maculatus (S12), Bicolorana_bicolor (S10)]",462.611548701885
"Omega1[Oedipoda_caerulescens (S13), Bicolorana_bicolor (S10)]",683.709813394136
"Omega1[Phaneroptera_falcata (S14), Bicolorana_bicolor (S10)]",3836.29294915297
"Omega1[Platycleis_albopunctata (S15), Bicolorana_bicolor (S10)]",827.023838017783
"Omega1[Stenobothrus_lineatus (S16), Bicolorana_bicolor (S10)]",1302.31387219875
"Omega1[Stethophyma_grossum (S17), Bicolorana_bicolor (S10)]",223.583138150295
"Omega1[Tettigonia_viridissima (S18), Bicolorana_bicolor (S10)]",1319.98144666792
"Omega1[Calliptamus_italicus (S1), Roeseliana_roeselii (S11)]",4512.69073128736
"Omega1[Chorthippus_albomarginatus (S2), Roeseliana_roeselii (S11)]",952.508413267644
"Omega1[Chorthippus_apricarius (S3), Roeseliana_roeselii (S11)]",1420.25605579159
"Omega1[Chorthippus_biguttulus (S4), Roeseliana_roeselii (S11)]",669.631030497548
"Omega1[Chorthippus_brunneus (S5), Roeseliana_roeselii (S11)]",902.994483319785
"Omega1[Chorthippus_dorsatus (S6), Roeseliana_roeselii (S11)]",812.034953038622
"Omega1[Chorthippus_mollis (S7), Roeseliana_roeselii (S11)]",1301.74560146706
"Omega1[Chorthippus_parallelus (S8), Roeseliana_roeselii (S11)]",588.852904206557
