"","Point est.","Upper C.I."
"B[(Intercept) (C1), Calliptamus_italicus (S1)]",1.00103466827718,1.00314005690779
"B[imperv.100m (C2), Calliptamus_italicus (S1)]",1.02524826608583,1.06118857007971
"B[open.green.500m (C3), Calliptamus_italicus (S1)]",1.00117418398477,1.00338886698801
"B[(Intercept) (C1), Chorthippus_albomarginatus (S2)]",1.0058964943494,1.01272250719474
"B[imperv.100m (C2), Chorthippus_albomarginatus (S2)]",1.07332433526509,1.2228166556346
"B[open.green.500m (C3), Chorthippus_albomarginatus (S2)]",1.00169832922029,1.0045004650973
"B[(Intercept) (C1), Chorthippus_apricarius (S3)]",1.00678332389603,1.02073942915454
"B[imperv.100m (C2), Chorthippus_apricarius (S3)]",1.04372041831344,1.14659139593299
"B[open.green.500m (C3), Chorthippus_apricarius (S3)]",1.0003793584977,1.00060415540344
"B[(Intercept) (C1), Chorthippus_biguttulus (S4)]",1.02705813176404,1.08981859460596
"B[imperv.100m (C2), Chorthippus_biguttulus (S4)]",1.01700650107514,1.05228784579382
"B[open.green.500m (C3), Chorthippus_biguttulus (S4)]",1.01671738237327,1.0571683656126
"B[(Intercept) (C1), Chorthippus_brunneus (S5)]",1.02994749066219,1.10056743539704
"B[imperv.100m (C2), Chorthippus_brunneus (S5)]",1.02816917999837,1.09114130344175
"B[open.green.500m (C3), Chorthippus_brunneus (S5)]",1.00825208468427,1.01399451157931
"B[(Intercept) (C1), Chorthippus_dorsatus (S6)]",1.12000712915837,1.34549806433747
"B[imperv.100m (C2), Chorthippus_dorsatus (S6)]",1.00546308631251,1.01914642151407
"B[open.green.500m (C3), Chorthippus_dorsatus (S6)]",1.13684260409933,1.39924458356227
"B[(Intercept) (C1), Chorthippus_mollis (S7)]",1.05982157141958,1.19236220748526
"B[imperv.100m (C2), Chorthippus_mollis (S7)]",1.028250508593,1.09601760344289
"B[open.green.500m (C3), Chorthippus_mollis (S7)]",1.05560421302925,1.17950750041425
"B[(Intercept) (C1), Chorthippus_parallelus (S8)]",1.01241132931183,1.03877867617798
"B[imperv.100m (C2), Chorthippus_parallelus (S8)]",1.15239385540734,1.44107362683415
"B[open.green.500m (C3), Chorthippus_parallelus (S8)]",1.03225283456948,1.11071572176296
"B[(Intercept) (C1), Conocephalus_discolor (S9)]",1.06994009038499,1.20257960250877
"B[imperv.100m (C2), Conocephalus_discolor (S9)]",1.03508713217437,1.11379531267113
"B[open.green.500m (C3), Conocephalus_discolor (S9)]",1.00254282175937,1.00498942785501
"B[(Intercept) (C1), Bicolorana_bicolor (S10)]",1.0040519003154,1.01273562083833
"B[imperv.100m (C2), Bicolorana_bicolor (S10)]",1.01296229084438,1.04547138617785
"B[open.green.500m (C3), Bicolorana_bicolor (S10)]",1.04604786982711,1.13746444891045
"B[(Intercept) (C1), Roeseliana_roeselii (S11)]",1.09199608594043,1.25733893467026
"B[imperv.100m (C2), Roeseliana_roeselii (S11)]",1.2606283148887,1.71258589194473
"B[open.green.500m (C3), Roeseliana_roeselii (S11)]",1.05239427699539,1.16249056025706
"B[(Intercept) (C1), Myrmeleotettix_maculatus (S12)]",1.02312139585287,1.07621641220021
"B[imperv.100m (C2), Myrmeleotettix_maculatus (S12)]",1.05777005795417,1.17762974355131
"B[open.green.500m (C3), Myrmeleotettix_maculatus (S12)]",1.00833664932896,1.02902874187077
"B[(Intercept) (C1), Oedipoda_caerulescens (S13)]",1.01660105672658,1.05906285981227
"B[imperv.100m (C2), Oedipoda_caerulescens (S13)]",1.05878509204014,1.18386598850474
"B[open.green.500m (C3), Oedipoda_caerulescens (S13)]",1.01058910059625,1.03603667747762
"B[(Intercept) (C1), Phaneroptera_falcata (S14)]",1.00144307113318,1.00529358914524
"B[imperv.100m (C2), Phaneroptera_falcata (S14)]",1.00558540158997,1.01591114799564
"B[open.green.500m (C3), Phaneroptera_falcata (S14)]",1.00313999013754,1.01173826110474
"B[(Intercept) (C1), Platycleis_albopunctata (S15)]",1.02504512703899,1.08733855264091
"B[imperv.100m (C2), Platycleis_albopunctata (S15)]",1.03153468696398,1.0907154270735
"B[open.green.500m (C3), Platycleis_albopunctata (S15)]",1.00695631651147,1.02444271856544
"B[(Intercept) (C1), Stenobothrus_lineatus (S16)]",1.31929469376479,1.95958741672813
"B[imperv.100m (C2), Stenobothrus_lineatus (S16)]",1.01742183485525,1.03568176108139
"B[open.green.500m (C3), Stenobothrus_lineatus (S16)]",1.00849513147242,1.02427185995514
"B[(Intercept) (C1), Stethophyma_grossum (S17)]",1.01856961794842,1.05013962983137
"B[imperv.100m (C2), Stethophyma_grossum (S17)]",1.13982520727889,1.41441480174484
"B[open.green.500m (C3), Stethophyma_grossum (S17)]",1.02888131081897,1.09926361689146
"B[(Intercept) (C1), Tettigonia_viridissima (S18)]",1.01092386468269,1.03727105736481
"B[imperv.100m (C2), Tettigonia_viridissima (S18)]",1.04819989341119,1.13991784364548
"B[open.green.500m (C3), Tettigonia_viridissima (S18)]",1.00221064552565,1.00645342552035
