"","Point est.","Upper C.I."
"Omega1[Calliptamus_italicus (S1), Calliptamus_italicus (S1)]",1.00580612179088,1.00675237107008
"Omega1[Chorthippus_albomarginatus (S2), Calliptamus_italicus (S1)]",1.00846449906338,1.01380022867482
"Omega1[Chorthippus_apricarius (S3), Calliptamus_italicus (S1)]",1.02657304772282,1.03680685607317
"Omega1[Chorthippus_biguttulus (S4), Calliptamus_italicus (S1)]",1.07302824348874,1.10245998024784
"Omega1[Chorthippus_brunneus (S5), Calliptamus_italicus (S1)]",1.00523970581397,1.01229231706575
"Omega1[Chorthippus_dorsatus (S6), Calliptamus_italicus (S1)]",1.09945675707664,1.12069141883052
"Omega1[Chorthippus_mollis (S7), Calliptamus_italicus (S1)]",1.01032025073055,1.01827977005724
"Omega1[Chorthippus_parallelus (S8), Calliptamus_italicus (S1)]",1.00677703541279,1.01464158434856
"Omega1[Conocephalus_discolor (S9), Calliptamus_italicus (S1)]",1.10232481159224,1.11824547271733
"Omega1[Bicolorana_bicolor (S10), Calliptamus_italicus (S1)]",1.02371028324301,1.04101946549917
"Omega1[Roeseliana_roeselii (S11), Calliptamus_italicus (S1)]",1.00546396070606,1.01249172587304
"Omega1[Myrmeleotettix_maculatus (S12), Calliptamus_italicus (S1)]",1.03039771787015,1.0485077851606
"Omega1[Oedipoda_caerulescens (S13), Calliptamus_italicus (S1)]",1.02396103538273,1.03865559508589
"Omega1[Phaneroptera_falcata (S14), Calliptamus_italicus (S1)]",1.07787582410507,1.0949623135639
"Omega1[Platycleis_albopunctata (S15), Calliptamus_italicus (S1)]",1.02687289043008,1.04278188717171
"Omega1[Stenobothrus_lineatus (S16), Calliptamus_italicus (S1)]",1.09720590041737,1.11263367074961
"Omega1[Stethophyma_grossum (S17), Calliptamus_italicus (S1)]",1.05382672570079,1.07006099891373
"Omega1[Tettigonia_viridissima (S18), Calliptamus_italicus (S1)]",1.04781999629608,1.06391039582404
"Omega1[Calliptamus_italicus (S1), Chorthippus_albomarginatus (S2)]",1.00846449906338,1.01380022867482
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_albomarginatus (S2)]",1.02978626300723,1.06333394010132
"Omega1[Chorthippus_apricarius (S3), Chorthippus_albomarginatus (S2)]",1.05498365348256,1.11863632930107
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_albomarginatus (S2)]",1.34840064117611,2.10832658711482
"Omega1[Chorthippus_brunneus (S5), Chorthippus_albomarginatus (S2)]",1.00735768663818,1.02396557215139
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_albomarginatus (S2)]",1.23035605429125,1.74449496618422
"Omega1[Chorthippus_mollis (S7), Chorthippus_albomarginatus (S2)]",1.13449909787355,1.4017436809779
"Omega1[Chorthippus_parallelus (S8), Chorthippus_albomarginatus (S2)]",1.04223595592521,1.12308175866853
"Omega1[Conocephalus_discolor (S9), Chorthippus_albomarginatus (S2)]",1.16184490301243,1.46361543775444
"Omega1[Bicolorana_bicolor (S10), Chorthippus_albomarginatus (S2)]",1.21237251628011,1.6001621517926
"Omega1[Roeseliana_roeselii (S11), Chorthippus_albomarginatus (S2)]",1.01760915136158,1.02182659588446
"Omega1[Myrmeleotettix_maculatus (S12), Chorthippus_albomarginatus (S2)]",1.18987936217456,1.55861943915356
"Omega1[Oedipoda_caerulescens (S13), Chorthippus_albomarginatus (S2)]",1.11461461544592,1.35501362225663
"Omega1[Phaneroptera_falcata (S14), Chorthippus_albomarginatus (S2)]",1.10631390253244,1.29341346965475
"Omega1[Platycleis_albopunctata (S15), Chorthippus_albomarginatus (S2)]",1.14070150475645,1.42410087374958
"Omega1[Stenobothrus_lineatus (S16), Chorthippus_albomarginatus (S2)]",1.26493912077399,1.94166884178007
"Omega1[Stethophyma_grossum (S17), Chorthippus_albomarginatus (S2)]",1.11844734919689,1.34440611311543
"Omega1[Tettigonia_viridissima (S18), Chorthippus_albomarginatus (S2)]",1.03836162730437,1.09689587121637
"Omega1[Calliptamus_italicus (S1), Chorthippus_apricarius (S3)]",1.02657304772282,1.03680685607317
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_apricarius (S3)]",1.05498365348256,1.11863632930107
"Omega1[Chorthippus_apricarius (S3), Chorthippus_apricarius (S3)]",1.0918206762275,1.21103272509903
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_apricarius (S3)]",1.26068905213931,1.80089029185497
"Omega1[Chorthippus_brunneus (S5), Chorthippus_apricarius (S3)]",1.2537017193198,1.73887479005834
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_apricarius (S3)]",1.36901844769854,2.3854073988596
"Omega1[Chorthippus_mollis (S7), Chorthippus_apricarius (S3)]",1.10335582308969,1.2747987483655
"Omega1[Chorthippus_parallelus (S8), Chorthippus_apricarius (S3)]",1.05778250184512,1.15630431244358
"Omega1[Conocephalus_discolor (S9), Chorthippus_apricarius (S3)]",1.45974082497442,3.03272419042857
"Omega1[Bicolorana_bicolor (S10), Chorthippus_apricarius (S3)]",1.09155657486958,1.28140100768898
"Omega1[Roeseliana_roeselii (S11), Chorthippus_apricarius (S3)]",1.20436620926299,1.61936776003107
"Omega1[Myrmeleotettix_maculatus (S12), Chorthippus_apricarius (S3)]",1.05117014590683,1.15337048059592
"Omega1[Oedipoda_caerulescens (S13), Chorthippus_apricarius (S3)]",1.01425587378507,1.0377737944115
"Omega1[Phaneroptera_falcata (S14), Chorthippus_apricarius (S3)]",1.35605219568413,2.52710133891343
"Omega1[Platycleis_albopunctata (S15), Chorthippus_apricarius (S3)]",1.06130195417269,1.1999764680882
"Omega1[Stenobothrus_lineatus (S16), Chorthippus_apricarius (S3)]",1.24529363157037,1.84408133808063
"Omega1[Stethophyma_grossum (S17), Chorthippus_apricarius (S3)]",1.08507343268532,1.19896532756231
"Omega1[Tettigonia_viridissima (S18), Chorthippus_apricarius (S3)]",1.24885562730218,1.81214582399971
"Omega1[Calliptamus_italicus (S1), Chorthippus_biguttulus (S4)]",1.07302824348874,1.10245998024784
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_biguttulus (S4)]",1.34840064117611,2.10832658711482
"Omega1[Chorthippus_apricarius (S3), Chorthippus_biguttulus (S4)]",1.26068905213931,1.80089029185497
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_biguttulus (S4)]",1.02651753149385,1.09181199072431
"Omega1[Chorthippus_brunneus (S5), Chorthippus_biguttulus (S4)]",1.03834172378001,1.04698539286568
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_biguttulus (S4)]",1.25281952656694,1.98719117107454
"Omega1[Chorthippus_mollis (S7), Chorthippus_biguttulus (S4)]",1.17141919468737,1.51003901304558
"Omega1[Chorthippus_parallelus (S8), Chorthippus_biguttulus (S4)]",1.32619974494698,1.95136335745762
"Omega1[Conocephalus_discolor (S9), Chorthippus_biguttulus (S4)]",1.30090741355085,1.93834225786567
"Omega1[Bicolorana_bicolor (S10), Chorthippus_biguttulus (S4)]",1.3123480803284,2.15110289276863
"Omega1[Roeseliana_roeselii (S11), Chorthippus_biguttulus (S4)]",1.36325759586702,2.03209245372146
"Omega1[Myrmeleotettix_maculatus (S12), Chorthippus_biguttulus (S4)]",1.21329595843335,1.67880772350134
"Omega1[Oedipoda_caerulescens (S13), Chorthippus_biguttulus (S4)]",1.09191525094564,1.28509942192517
"Omega1[Phaneroptera_falcata (S14), Chorthippus_biguttulus (S4)]",1.07272163765667,1.19521047031584
"Omega1[Platycleis_albopunctata (S15), Chorthippus_biguttulus (S4)]",1.08788936059254,1.2490294892119
"Omega1[Stenobothrus_lineatus (S16), Chorthippus_biguttulus (S4)]",1.16092526431025,1.16154242321295
"Omega1[Stethophyma_grossum (S17), Chorthippus_biguttulus (S4)]",1.2974305893758,2.08550152798077
"Omega1[Tettigonia_viridissima (S18), Chorthippus_biguttulus (S4)]",1.22242190822847,1.72833581007104
"Omega1[Calliptamus_italicus (S1), Chorthippus_brunneus (S5)]",1.00523970581397,1.01229231706575
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_brunneus (S5)]",1.00735768663818,1.02396557215139
"Omega1[Chorthippus_apricarius (S3), Chorthippus_brunneus (S5)]",1.2537017193198,1.73887479005834
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_brunneus (S5)]",1.03834172378001,1.04698539286568
"Omega1[Chorthippus_brunneus (S5), Chorthippus_brunneus (S5)]",1.27482288123914,1.74358483236779
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_brunneus (S5)]",1.28408597078182,1.96699712107774
"Omega1[Chorthippus_mollis (S7), Chorthippus_brunneus (S5)]",1.90245968205234,5.74808841549295
"Omega1[Chorthippus_parallelus (S8), Chorthippus_brunneus (S5)]",1.01325160221916,1.03746826259034
"Omega1[Conocephalus_discolor (S9), Chorthippus_brunneus (S5)]",1.20804225493941,1.63989276388267
"Omega1[Bicolorana_bicolor (S10), Chorthippus_brunneus (S5)]",1.04985234290412,1.1240827000368
"Omega1[Roeseliana_roeselii (S11), Chorthippus_brunneus (S5)]",1.01928474811978,1.04854485592397
"Omega1[Myrmeleotettix_maculatus (S12), Chorthippus_brunneus (S5)]",1.06187971323046,1.16094556364809
"Omega1[Oedipoda_caerulescens (S13), Chorthippus_brunneus (S5)]",1.05207002739645,1.09506230585547
"Omega1[Phaneroptera_falcata (S14), Chorthippus_brunneus (S5)]",1.15295106602365,1.42469402045717
"Omega1[Platycleis_albopunctata (S15), Chorthippus_brunneus (S5)]",1.00916626150337,1.02578719036285
"Omega1[Stenobothrus_lineatus (S16), Chorthippus_brunneus (S5)]",1.15693309088273,1.4385929129441
"Omega1[Stethophyma_grossum (S17), Chorthippus_brunneus (S5)]",1.05640418181361,1.1573472045786
"Omega1[Tettigonia_viridissima (S18), Chorthippus_brunneus (S5)]",1.18268654581972,1.5299768860645
"Omega1[Calliptamus_italicus (S1), Chorthippus_dorsatus (S6)]",1.09945675707664,1.12069141883052
"Omega1[Chorthippus_albomarginatus (S2), Chorthippus_dorsatus (S6)]",1.23035605429125,1.74449496618422
"Omega1[Chorthippus_apricarius (S3), Chorthippus_dorsatus (S6)]",1.36901844769854,2.3854073988596
"Omega1[Chorthippus_biguttulus (S4), Chorthippus_dorsatus (S6)]",1.25281952656694,1.98719117107454
"Omega1[Chorthippus_brunneus (S5), Chorthippus_dorsatus (S6)]",1.28408597078182,1.96699712107774
"Omega1[Chorthippus_dorsatus (S6), Chorthippus_dorsatus (S6)]",1.00882436228464,1.00911332657217
"Omega1[Chorthippus_mollis (S7), Chorthippus_dorsatus (S6)]",1.1313132849602,1.31356051619805
"Omega1[Chorthippus_parallelus (S8), Chorthippus_dorsatus (S6)]",1.35496677295019,2.31983551584502
"Omega1[Conocephalus_discolor (S9), Chorthippus_dorsatus (S6)]",1.66959919744935,5.06766167013329
"Omega1[Bicolorana_bicolor (S10), Chorthippus_dorsatus (S6)]",1.34428696825683,2.09058651636356
"Omega1[Roeseliana_roeselii (S11), Chorthippus_dorsatus (S6)]",1.51046127577262,3.65654663109397
