SITE,Turdus_merula,Motacilla_alba,Anthus_trivialis,Fulica_atra,Parus_caeruleus,Carduelis_cannabina,Saxicola_rubetra,Fringilla_coelebs,Dendrocopos_major,Corvus_monedula,Sylvia_communis,Acrocephalus_arundinaceus,Garrulus_glandarius,Pica_pica,Alauda_arvensis,Locustella_naevia,Passer_montanus,Phylloscopus_trochilus,Charadrius_dubius,Certhia_brachydactyla,Sylvia_borin,Phoenicurus_phoenicurus,Hippolais_icterina,Pyrrhula_pyrrhula,Serinus_serinus,Emberiza_citrinella,Miliaria_calandra,Anser_anser,Muscicapa_striata,Carduelis_chloris,Picus_viridis,Accipiter_gentilis,Galerida_cristata,Parus_cristatus,Podiceps_cristatus,Phoenicurus_ochruros,Passer_domesticus,Prunella_modularis,Lullula_arborea,Columba_oenas,Phasianus_colchicus,Coccothraustes_coccothraustes,Sylvia_curruca,Sitta_europaea,Dendrocopos_minor,Parus_major,Corvus_corax,Cuculus_canorus,Aix_galericulata,Apus_apus,Buteo_buteo,Delichon_urbicum,Dendrocopos_medius,Sylvia_atricapilla,Luscinia_megarhynchos,Corvus_corone,Lanius_collurio,Oriolus_oriolus,Hirundo_rustica,Columba_palumbus,Emberiza_schoeniclus,Locustella_luscinioides,Circus_aeruginosus,Podiceps_grisegena,Erithacus_rubecula,Locustella_fluviatilis,Aegithalos_caudatus,Saxicola_torquatus,Dryocopus_martius,Turdus_philomelos,Regulus_ignicapilla,Accipiter_nisus,Sylvia_nisoria,Sturnus_vulgaris,Oenanthe_oenanthe,Carduelis_carduelis,Anas_platyrhynchos,Columba_livia,Parus_palustris,Acrocephalus_palustris,Parus_ater,Gallinula_chloropus,Acrocephalus_scirpaceus,Ficedula_hypoleuca,Streptopelia_decaocto,Falco_tinnunculus,Coturnix_coturnix,Certhia_familiaris,Strix_aluco,Phylloscopus_sibilatrix,Rallus_aquaticus,Jynx_torquilla,Motacilla_flava,Regulus_regulus,Troglodytes_troglodytes,Phylloscopus_collybita,Tachybaptus_ruficollis
BE10,27,0,0,0,9,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,162,0,0,0,0,0,1,0,0,10,0,0,0,15,0,0,0,2,0,10,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE11,37,2,0,0,25,0,0,4,8,0,0,0,1,4,0,0,5,1,0,11,0,7,0,0,5,0,0,0,0,11,1,0,0,0,0,5,121,1,0,0,0,0,4,3,0,39,0,0,0,21,0,0,0,26,7,11,0,0,0,23,0,0,0,0,9,0,1,0,0,0,2,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0
BE12,30,0,0,0,18,0,0,2,1,0,0,0,0,0,0,0,4,0,0,4,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,4,56,0,0,0,0,0,0,4,0,18,0,0,0,4,0,0,0,10,0,2,0,0,0,17,0,0,0,0,5,0,0,0,0,1,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
BE13,27,1,0,1,19,0,0,30,10,0,1,3,3,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,2,0,0,5,0,1,0,21,1,19,0,2,1,0,1,0,7,28,9,10,0,2,10,10,1,0,0,0,14,0,2,0,1,11,1,0,1,36,0,2,0,0,2,0,1,0,4,0,0,0,0,0,0,1,0,0,0,1,14,13,0
BE14,54,2,11,0,18,1,0,18,4,0,4,0,3,1,2,2,4,15,0,2,5,6,2,0,0,20,0,0,1,6,1,0,0,0,0,1,18,1,0,0,5,1,1,1,0,35,1,1,0,0,1,0,0,24,20,6,7,2,0,5,0,0,0,0,10,0,2,0,0,11,0,0,1,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,13,0
be15,13,1,1,7,7,1,1,9,4,0,0,2,1,0,9,1,2,1,0,4,0,2,1,0,0,8,0,4,2,2,0,0,0,0,9,2,0,0,0,0,1,1,0,1,0,10,0,1,0,0,0,0,0,7,3,1,4,3,0,2,14,2,1,6,5,1,0,1,0,3,0,0,0,6,0,1,3,0,0,5,0,3,5,0,0,0,1,0,0,0,1,1,3,0,3,5,2
BE16,39,0,0,0,20,0,0,2,0,0,0,0,2,4,0,0,6,0,0,2,0,11,0,0,4,0,0,0,0,11,0,0,0,0,0,7,104,1,0,0,0,0,7,0,0,46,0,0,0,0,0,0,0,14,10,4,0,0,0,16,0,0,0,0,0,0,0,0,0,1,4,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0
BE17,14,0,0,0,4,3,0,2,0,0,23,0,2,2,21,2,4,14,0,0,3,0,5,0,0,14,8,0,0,6,1,0,0,0,0,0,0,0,0,0,5,0,3,0,0,17,0,3,0,0,0,0,0,12,6,4,2,0,0,7,0,0,0,0,0,0,0,2,0,5,0,0,0,10,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
BE18,49,2,0,0,18,1,0,0,3,0,0,0,0,5,1,2,8,4,1,1,3,12,1,0,7,4,0,0,1,8,0,1,0,1,0,4,88,3,0,0,1,0,4,0,0,28,1,1,0,3,0,2,0,15,18,8,2,0,1,13,1,0,0,0,4,0,2,0,0,1,1,0,0,17,0,1,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,9,0
BE19,32,0,0,0,15,0,0,0,3,0,1,0,3,7,0,0,8,3,0,3,3,9,2,0,4,0,0,0,3,13,1,0,0,0,0,6,90,1,0,0,0,1,4,3,0,18,0,0,0,12,0,0,0,7,5,10,0,0,0,15,0,0,0,0,4,0,0,0,0,4,0,0,0,34,0,4,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,2,3,0
BE2,30,0,0,0,33,0,0,71,36,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,1,2,0,5,0,0,0,0,0,2,0,15,0,29,0,29,1,1,0,0,0,0,1,9,0,2,0,0,0,12,0,0,0,0,35,0,1,0,2,14,7,0,0,2,0,0,0,0,0,0,3,0,0,6,0,0,0,6,2,24,0,0,0,0,36,1,0
