SCIENTIFIC,GERMAN,ENGLISH,Order,Family,Habitat_long,Habitat,Introduced,Status,Migrant,SpecID_Elton,PassNonPass,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,ForStrat-Cat,Nocturnal,BodyMass-Value,log10_productivity,Nest_type,Foraging_habitat,Developmental_mode,Time_activity,Social system,Migratory mode,Diet
Accipiter gentilis,Habicht,Northern Goshawk,Accipitriformes,Accipitridae,Forest - Artificial/Terrestrial - Grassland,Terrestrial,Native,LC,Resident,4767,Nonpasseriformes,0,90,10,0,0,0,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,low,0,866.04,-0.642,open,terrestrial,altricial,diurnal,Pair,migrant,vertfishscav
Accipiter nisus,Sperber,Eurasian Sparrowhawk,Accipitriformes,Accipitridae,Artificial/Terrestrial - Shrubland - Forest - Savanna,Terrestrial,Native,LC,Semi,4753,Nonpasseriformes,0,100,0,0,0,0,0,0,0,0,VertFishScav,0,0,20,20,20,20,20,multi,0,220.79,-0.364,open,terrestrial,altricial,diurnal,Occasional,migrant,vertfishscav
Acrocephalus arundinaceus,Drosselrohrsänger,Great Reed-Warbler,Passeriformes,Sylviidae,Wetlands (inland) - Artificial/Terrestrial - Savanna - Shrubland - Grassland,Aquatic,Native,LC,Migrant,10802,Passeriformes,70,0,20,0,0,0,10,0,0,0,Invertebrate,0,20,20,60,0,0,0,low,0,30,-0.175,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Acrocephalus palustris,Sumpfrohrsänger,Marsh Warbler,Passeriformes,Sylviidae,Forest - Wetlands (inland) - Grassland - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,10801,Passeriformes,80,0,0,0,0,0,20,0,0,0,Invertebrate,0,0,0,50,50,0,0,multi,0,11.5,-0.205,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Acrocephalus scirpaceus,Teichrohrsänger,Eurasian Reed-Warbler,Passeriformes,Sylviidae,Wetlands (inland) - Grassland - Shrubland - Savanna,Aquatic,Native,LC,Migrant,10797,Passeriformes,70,0,0,0,0,0,10,0,10,10,Invertebrate,0,0,20,80,0,0,0,low,0,12.3,-0.083,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Aegithalos caudatus,Schwanzmeise,Long-tailed Tit,Passeriformes,Aegithalidae,Forest - Wetlands (inland) - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,9964,Passeriformes,60,0,0,0,0,0,10,10,10,10,Invertebrate,0,0,10,40,10,40,0,multi,0,8.6,0.177,closed,terrestrial,altricial,diurnal,Cooperative,nonmigrant,invertebrate
Aix galericulata,Mandarinente,Mandarin Duck,Anseriformes,Anatidae,Wetlands (inland) - Forest,Aquatic,Introduced,LC,Resident,660,Nonpasseriformes,20,0,0,10,0,0,0,0,40,30,PlantSeed,0,100,0,0,0,0,0,water,0,567.04,-0.124,cavity,freshwater,precocial,diurnal,Female only,migrant,vegetation
Alauda arvensis,Feldlerche,Sky Lark,Passeriformes,Alaudidae,Wetlands (inland) - Artificial/Terrestrial - Grassland - Marine Intertidal - Shrubland - Marine Coastal/Supratidal,Terrestrial,Native,LC,Migrant,11529,Passeriformes,40,0,0,0,0,0,0,0,40,20,PlantSeed,0,0,100,0,0,0,0,low,0,37.31,-0.226,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Anas platyrhynchos,Stockente,Mallard,Anseriformes,Anatidae,Wetlands (inland) - Artificial/Aquatic & Marine,Aquatic,Native,LC,Semi,679,Nonpasseriformes,40,0,10,10,0,0,0,0,20,20,Omnivore,20,60,20,0,0,0,0,low,0,843.42,-0.229,open,freshwater,precocial,diurnal,Female only,migrant,omnivore
Anser anser,Graugans,Greylag Goose,Anseriformes,Anatidae,Artificial/Terrestrial - Wetlands (inland) - Grassland,Aquatic,Native,LC,Migrant,607,Nonpasseriformes,0,0,0,0,0,0,10,0,10,80,PlantSeed,0,20,80,0,0,0,0,low,0,3302.41,-0.634,open,freshwater,precocial,diurnal,Occasional,migrant,vegetation
