"scientific","german","english","order","family","habitat_long","habitat","introduced","status","migrant","specid_elton","passnonpass","diet.inv","diet.vend","diet.vect","diet.vfish","diet.vunk","diet.scav","diet.fruit","diet.nect","diet.seed","diet.planto","diet.5cat","forstrat.watbelowsurf","forstrat.wataroundsurf","forstrat.ground","forstrat.understory","forstrat.midhigh","forstrat.canopy","forstrat.aerial","forstrat.cat","nocturnal","bodymass.value","log10_productivity","nest_type","foraging_habitat","developmental_mode","time_activity","social.system","migratory.mode","diet","scientific2"
"Accipiter gentilis","Habicht","Northern Goshawk","Accipitriformes","Accipitridae","Forest - Artificial/Terrestrial - Grassland","Terrestrial","Native","LC","Resident",4767,"Nonpasseriformes",0,90,10,0,0,0,0,0,0,0,"VertFishScav",0,0,100,0,0,0,0,"low",0,866.04,-0.642,"open","terrestrial","altricial","diurnal","Pair","migrant","vertfishscav","Accipiter_gentilis"
"Acrocephalus arundinaceus","Drosselrohrsänger","Great Reed-Warbler","Passeriformes","Sylviidae","Wetlands (inland) - Artificial/Terrestrial - Savanna - Shrubland - Grassland","Aquatic","Native","LC","Migrant",10802,"Passeriformes",70,0,20,0,0,0,10,0,0,0,"Invertebrate",0,20,20,60,0,0,0,"low",0,30,-0.175,"open","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Acrocephalus_arundinaceus"
"Acrocephalus palustris","Sumpfrohrsänger","Marsh Warbler","Passeriformes","Sylviidae","Forest - Wetlands (inland) - Grassland - Shrubland - Artificial/Terrestrial","Terrestrial","Native","LC","Migrant",10801,"Passeriformes",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,0,50,50,0,0,"multi",0,11.5,-0.205,"open","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Acrocephalus_palustris"
"Acrocephalus scirpaceus","Teichrohrsänger","Eurasian Reed-Warbler","Passeriformes","Sylviidae","Wetlands (inland) - Grassland - Shrubland - Savanna","Aquatic","Native","LC","Migrant",10797,"Passeriformes",70,0,0,0,0,0,10,0,10,10,"Invertebrate",0,0,20,80,0,0,0,"low",0,12.3,-0.083,"open","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Acrocephalus_scirpaceus"
"Aegithalos caudatus","Schwanzmeise","Long-tailed Tit","Passeriformes","Aegithalidae","Forest - Wetlands (inland) - Shrubland - Artificial/Terrestrial","Terrestrial","Native","LC","Semi",9964,"Passeriformes",60,0,0,0,0,0,10,10,10,10,"Invertebrate",0,0,10,40,10,40,0,"multi",0,8.6,0.177,"closed","terrestrial","altricial","diurnal","Cooperative","nonmigrant","invertebrate","Aegithalos_caudatus"
"Alauda arvensis","Feldlerche","Sky Lark","Passeriformes","Alaudidae","Wetlands (inland) - Artificial/Terrestrial - Grassland - Marine Intertidal - Shrubland - Marine Coastal/Supratidal","Terrestrial","Native","LC","Migrant",11529,"Passeriformes",40,0,0,0,0,0,0,0,40,20,"PlantSeed",0,0,100,0,0,0,0,"low",0,37.31,-0.226,"open","terrestrial","altricial","diurnal","Pair","migrant","seed","Alauda_arvensis"
"Anthus trivialis","Baumpieper","Tree Pipit","Passeriformes","Motacillidae","Forest - Savanna - Shrubland - Artificial/Terrestrial - Grassland","Terrestrial","Native","LC","Migrant",11876,"Passeriformes",60,0,0,0,0,0,10,10,10,10,"Invertebrate",0,0,100,0,0,0,0,"low",0,23.33,-0.203,"open","terrestrial","altricial","diurnal","Occasional","migrant","invertebrate","Anthus_trivialis"
"Apus apus","Mauersegler","Common Swift","Apodiformes","Apodidae","Forest - Desert - Rocky areas (eg. inland cliffs - mountain peaks) - Grassland - Shrubland - Savanna - Artificial/Terrestrial - Wetlands (inland)","Terrestrial","Native","LC","Migrant",2422,"Nonpasseriformes",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,0,0,0,0,100,"aerial",0,37.6,-0.724,"cavity","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Apus_apus"
"Buteo buteo","Mäusebussard","Common Buzzard","Accipitriformes","Accipitridae","Forest - Artificial/Terrestrial - Shrubland - Grassland - Wetlands (inland)","Terrestrial","Native","LC","Semi",4826,"Nonpasseriformes",0,90,10,0,0,0,0,0,0,0,"VertFishScav",0,0,100,0,0,0,0,"low",0,759.1,-0.673,"open","terrestrial","altricial","diurnal","Pair","migrant","vertfishscav","Buteo_buteo"
"Carduelis cannabina","Bluthänfling","Linnet","Passeriformes","Fringillidae","Shrubland - Artificial/Terrestrial - Grassland","Terrestrial","Native","LC","Semi",12348,"Passeriformes",20,0,0,0,0,0,20,0,60,0,"PlantSeed",0,0,60,20,20,0,0,"multi",0,19.53,NA,"open","terrestrial","altricial","diurnal","Pair",NA,NA,"Carduelis_cannabina"
