"","diet.5cat","migrant","log10.bodymass"
"be10","PlantSeed","Resident","1.4234097"
"be11","PlantSeed","Semi","1.4234097"
"be12","PlantSeed","Semi","1.4234097"
"be13","Omnivore","Semi","1.8872796"
"be14","Omnivore","Semi","2.0116973"
"be15","Invertebrate","Semi","1.2648178"
"be16","PlantSeed","Semi","1.4234097"
"be17","Invertebrate","Migrant","1.1789769"
"be18","Omnivore","Semi","1.4234097"
"be19","PlantSeed","Semi","1.4234097"
"be2","Invertebrate","Semi","1.3767594"
"be20","PlantSeed","Resident","1.4234097"
"be21","Invertebrate","Semi","2.0116973"
"be22","PlantSeed","Semi","1.4234097"
"be23","PlantSeed","Semi","1.4234097"
"be24","PlantSeed","Resident","1.4234097"
"be25","PlantSeed","Semi","1.4234097"
"be26","PlantSeed","Semi","1.4234097"
"be27","PlantSeed","Semi","1.4234097"
"be28","Invertebrate","Semi","1.3767594"
"be29","Omnivore","Semi","1.4234097"
"be3","Invertebrate","Semi","1.2108534"
"be30","PlantSeed","Semi","1.4234097"
"be4","Omnivore","Semi","1.2108534"
"be5","PlantSeed","Resident","1.4234097"
"be6","PlantSeed","Resident","1.4234097"
"be7","PlantSeed","Resident","1.4234097"
"be8","PlantSeed","Resident","1.4234097"
"be9","Invertebrate","Semi","1.3767594"
