transect,length,bird.sp,bird.ind,ind/km,tree,o.green,noise,pop,prey
be10,2854.901358,15,265,92.82282181,6.983366407,0.003755813,52.66810537,240.2320426,140
be11,3136.169893,32,423,134.877897,22.48732917,0.147960262,61.36623707,41.95172087,148
be12,2769.633906,21,209,75.4612368,19.37420753,0.116351677,53.33908051,64.46639329,144
be13,2946.685259,48,340,115.3838874,70.11608596,0.062367094,22.7820448,0.261762929,301
be14,2772.229003,48,362,130.5808429,36.39087458,0.517760575,35.69318226,0.164031726,206
be15,2993.838845,56,200,66.803863,19.78934382,0.692938283,62.04908789,0.279482723,350
be16,3811.457667,25,348,91.30365083,44.60392526,0.0960477,65.44807878,17.20737698,164
be17,3169.018306,32,214,67.52879894,0.12456873,0.998551526,53.02830912,0,365
be18,2863.467086,49,372,129.9124414,30.51445019,0.24924503,60.28212414,13.21794459,177
be19,2917.65911,37,345,118.2454793,37.60153588,0.020357884,60.96691113,26.94841775,153
be2,3185.052681,33,436,136.8894155,79.34147973,0,43.26008627,0,347
be20,3540.944253,20,149,42.07917136,10.26608354,0.001400497,55.93704508,121.8939759,159
be21,3264.144244,38,378,115.8037059,20.50372095,0.521240723,56.10110296,15.69085227,228
be22,3066.739776,27,237,77.28076632,6.617411074,0,54.75406244,172.3346086,138
be23,3038.006254,21,222,73.07424062,6.069850541,0,57.95421413,289.6150191,145
be24,3723.933043,20,312,83.78238716,14.94419183,0.100172688,55.44684048,159.898215,135
be25,3264.900798,32,242,74.12170076,29.23558731,0.097900501,61.89823691,65.50569693,168
be26,3491.198976,28,308,88.22184072,15.53390775,0.161549929,55.76390495,118.7306483,160
be27,3411.532455,41,314,92.0407483,25.81735766,0.027212924,58.71132952,61.23989264,158
be28,3826.612435,33,272,71.08114674,73.79412098,0.038631376,47.81166132,0.081606671,286
be29,3757.795677,22,243,64.66557016,34.96159918,0.055907766,55.97481527,53.72525385,152
be3,3391.80183,44,299,88.1537351,55.48014943,0.127707312,34.29763251,3.397385456,209
be30,6352.695934,29,267,42.02940024,30.24669347,0.290718668,50.23587216,36.3515589,167
be4,2983.706702,32,415,139.0887381,62.63903389,0.07153672,40.46670322,10.48965444,295
be5,3114.576137,18,200,64.21419518,12.76256788,0.004747648,64.45059606,138.5031292,145
be6,4169.449989,26,208,49.88667583,24.75695827,0.01467517,57.41307161,95.89662741,149
be7,4030.099555,28,540,133.9917272,7.435498609,0.00245264,54.41609878,202.9983087,147
be8,3254.136331,25,221,67.91356524,17.76238404,0,60.4470315,59.8440229,155
be9,3260.464258,35,314,96.30530351,75.25321416,0.021666845,38.10811377,0.046996208,282
